Date,Open,High,Low,Close
4/30/1947,2.19,2.19,2.19,2.19
5/30/1947,2.19,2.19,2.19,2.19
6/30/1947,2.22,2.22,2.22,2.22
7/31/1947,2.25,2.25,2.25,2.25
8/29/1947,2.24,2.24,2.24,2.24
9/30/1947,2.24,2.24,2.24,2.24
10/31/1947,2.27,2.27,2.27,2.27
11/28/1947,2.36,2.36,2.36,2.36
12/31/1947,2.39,2.39,2.39,2.39
1/30/1948,2.45,2.45,2.45,2.45
2/27/1948,2.45,2.45,2.45,2.45
3/31/1948,2.44,2.44,2.44,2.44
4/30/1948,2.44,2.44,2.44,2.44
5/31/1948,2.42,2.42,2.42,2.42
6/30/1948,2.41,2.41,2.41,2.41
7/30/1948,2.41,2.41,2.41,2.41
8/31/1948,2.45,2.45,2.45,2.45
9/30/1948,2.45,2.45,2.45,2.45
10/29/1948,2.45,2.45,2.45,2.45
11/30/1948,2.44,2.44,2.44,2.44
12/31/1948,2.44,2.44,2.44,2.44
1/31/1949,2.42,2.42,2.42,2.42
2/28/1949,2.39,2.39,2.39,2.39
3/31/1949,2.38,2.38,2.38,2.38
4/29/1949,2.38,2.38,2.38,2.38
5/31/1949,2.38,2.38,2.38,2.38
6/30/1949,2.38,2.38,2.38,2.38
7/29/1949,2.27,2.27,2.27,2.27
8/31/1949,2.24,2.24,2.24,2.24
9/30/1949,2.22,2.22,2.22,2.22
10/31/1949,2.22,2.22,2.22,2.22
11/30/1949,2.2,2.2,2.2,2.2
12/30/1949,2.19,2.19,2.19,2.19
1/31/1950,2.2,2.2,2.2,2.2
2/28/1950,2.24,2.24,2.24,2.24
3/31/1950,2.27,2.27,2.27,2.27
4/28/1950,2.3,2.3,2.3,2.3
5/31/1950,2.31,2.31,2.31,2.31
6/30/1950,2.33,2.33,2.33,2.33
7/31/1950,2.34,2.34,2.34,2.34
8/31/1950,2.33,2.33,2.33,2.33
9/29/1950,2.36,2.36,2.36,2.36
10/31/1950,2.38,2.38,2.38,2.38
11/30/1950,2.38,2.38,2.38,2.38
12/29/1950,2.39,2.39,2.39,2.39
1/31/1951,2.39,2.39,2.39,2.39
2/28/1951,2.4,2.4,2.4,2.4
3/30/1951,2.47,2.47,2.47,2.47
4/30/1951,2.56,2.56,2.56,2.56
5/31/1951,2.63,2.63,2.63,2.63
6/29/1951,2.65,2.65,2.65,2.65
7/31/1951,2.63,2.63,2.63,2.63
8/31/1951,2.57,2.57,2.57,2.57
9/28/1951,2.56,2.56,2.56,2.56
10/31/1951,2.61,2.61,2.61,2.61
11/30/1951,2.66,2.66,2.66,2.66
12/31/1951,2.7,2.7,2.7,2.7
1/31/1952,2.74,2.74,2.74,2.74
2/29/1952,2.71,2.71,2.71,2.71
3/31/1952,2.7,2.7,2.7,2.7
4/30/1952,2.64,2.64,2.64,2.64
5/30/1952,2.57,2.57,2.57,2.57
6/30/1952,2.61,2.61,2.61,2.61
7/31/1952,2.61,2.61,2.61,2.61
8/29/1952,2.7,2.7,2.7,2.7
9/30/1952,2.71,2.71,2.71,2.71
10/31/1952,2.74,2.74,2.74,2.74
11/28/1952,2.71,2.71,2.71,2.71
12/31/1952,2.75,2.75,2.75,2.75
1/30/1953,2.8,2.8,2.8,2.8
2/27/1953,2.83,2.83,2.83,2.83
3/31/1953,2.89,2.89,2.89,2.89
4/30/1953,2.97,2.97,2.97,2.97
5/29/1953,3.12,3.12,3.12,3.12
6/30/1953,3.13,3.13,3.13,3.13
7/31/1953,3.04,3.04,3.04,3.04
8/31/1953,3.05,3.05,3.05,3.05
9/30/1953,3.01,3.01,3.01,3.01
10/30/1953,2.87,2.87,2.87,2.87
11/30/1953,2.86,2.86,2.86,2.86
12/31/1953,2.79,2.79,2.79,2.79
1/29/1954,2.69,2.69,2.69,2.69
2/26/1954,2.62,2.62,2.62,2.62
3/31/1954,2.53,2.53,2.53,2.53
4/30/1954,2.48,2.48,2.48,2.48
5/31/1954,2.54,2.54,2.54,2.54
6/30/1954,2.55,2.55,2.55,2.55
7/30/1954,2.47,2.47,2.47,2.47
8/31/1954,2.48,2.48,2.48,2.48
9/30/1954,2.52,2.52,2.52,2.52
10/29/1954,2.54,2.54,2.54,2.54
11/30/1954,2.57,2.57,2.57,2.57
12/31/1954,2.59,2.59,2.59,2.59
1/31/1955,2.68,2.68,2.68,2.68
2/28/1955,2.77,2.77,2.77,2.77
3/31/1955,2.78,2.78,2.78,2.78
4/29/1955,2.82,2.82,2.82,2.82
5/31/1955,2.81,2.81,2.81,2.81
6/30/1955,2.82,2.82,2.82,2.82
7/29/1955,2.91,2.91,2.91,2.91
8/31/1955,2.95,2.95,2.95,2.95
9/30/1955,2.92,2.92,2.92,2.92
10/31/1955,2.87,2.87,2.87,2.87
11/30/1955,2.89,2.89,2.89,2.89
12/30/1955,2.91,2.91,2.91,2.91
1/31/1956,2.88,2.88,2.88,2.88
2/29/1956,2.85,2.85,2.85,2.85
3/30/1956,2.93,2.93,2.93,2.93
4/30/1956,3.07,3.07,3.07,3.07
5/31/1956,2.97,2.97,2.97,2.97
6/29/1956,2.93,2.93,2.93,2.93
7/31/1956,3,3,3,3
8/31/1956,3.17,3.17,3.17,3.17
9/28/1956,3.21,3.21,3.21,3.21
10/31/1956,3.2,3.2,3.2,3.2
11/30/1956,3.3,3.3,3.3,3.3
12/31/1956,3.4,3.4,3.4,3.4
1/31/1957,3.34,3.34,3.34,3.34
2/28/1957,3.22,3.22,3.22,3.22
3/29/1957,3.26,3.26,3.26,3.26
4/30/1957,3.32,3.32,3.32,3.32
5/31/1957,3.4,3.4,3.4,3.4
6/28/1957,3.58,3.58,3.58,3.58
7/31/1957,3.6,3.6,3.6,3.6
8/30/1957,3.63,3.63,3.63,3.63
9/30/1957,3.66,3.66,3.66,3.66
10/31/1957,3.73,3.73,3.73,3.73
11/29/1957,3.57,3.57,3.57,3.57
12/31/1957,3.3,3.3,3.3,3.3
1/31/1958,3.24,3.24,3.24,3.24
2/28/1958,3.26,3.26,3.26,3.26
3/31/1958,3.25,3.25,3.25,3.25
4/30/1958,3.12,3.12,3.12,3.12
5/30/1958,3.14,3.14,3.14,3.14
6/30/1958,3.19,3.19,3.19,3.19
7/31/1958,3.36,3.36,3.36,3.36
8/29/1958,3.6,3.6,3.6,3.6
9/30/1958,3.75,3.75,3.75,3.75
10/31/1958,3.76,3.76,3.76,3.76
11/28/1958,3.7,3.7,3.7,3.7
12/31/1958,3.8,3.8,3.8,3.8
1/30/1959,3.9,3.9,3.9,3.9
2/27/1959,3.92,3.92,3.92,3.92
3/31/1959,3.92,3.92,3.92,3.92
4/30/1959,4.01,4.01,4.01,4.01
5/29/1959,4.08,4.08,4.08,4.08
6/30/1959,4.09,4.09,4.09,4.09
7/31/1959,4.11,4.11,4.11,4.11
8/31/1959,4.1,4.1,4.1,4.1
9/30/1959,4.26,4.26,4.26,4.26
10/30/1959,4.11,4.11,4.11,4.11
11/30/1959,4.12,4.12,4.12,4.12
12/31/1959,4.27,4.27,4.27,4.27
1/29/1960,4.37,4.37,4.37,4.37
2/29/1960,4.22,4.22,4.22,4.22
3/31/1960,4.08,4.08,4.08,4.08
4/29/1960,4.17,4.17,4.17,4.17
5/31/1960,4.16,4.16,4.16,4.16
6/30/1960,3.99,3.99,3.99,3.99
7/29/1960,3.86,3.86,3.86,3.86
8/31/1960,3.79,3.79,3.79,3.79
9/30/1960,3.82,3.82,3.82,3.82
10/31/1960,3.91,3.91,3.91,3.91
11/30/1960,3.93,3.93,3.93,3.93
12/30/1960,3.88,3.88,3.88,3.88
1/31/1961,3.89,3.89,3.89,3.89
2/28/1961,3.81,3.81,3.81,3.81
3/31/1961,3.78,3.78,3.78,3.78
4/28/1961,3.8,3.8,3.8,3.8
5/31/1961,3.73,3.73,3.73,3.73
6/30/1961,3.88,3.88,3.88,3.88
7/31/1961,3.9,3.9,3.9,3.9
8/31/1961,4,4,4,4
9/29/1961,4.02,4.02,4.02,4.02
10/31/1961,3.98,3.98,3.98,3.98
11/30/1961,3.98,3.98,3.98,3.98
12/29/1961,4.06,4.06,4.06,4.06
1/31/1962,4.08,4.08,4.08,4.08
2/28/1962,4.09,4.09,4.09,4.09
3/30/1962,4.01,4.01,4.01,4.01
4/30/1962,3.89,3.89,3.89,3.89
5/31/1962,3.88,3.88,3.88,3.88
6/29/1962,3.9,3.9,3.9,3.9
7/31/1962,4.02,4.02,4.02,4.02
8/31/1962,3.97,3.97,3.97,3.97
9/28/1962,3.94,3.94,3.94,3.94
10/31/1962,3.89,3.89,3.89,3.89
11/30/1962,3.87,3.87,3.87,3.87
12/31/1962,3.87,3.87,3.87,3.87
1/31/1963,3.88,3.88,3.88,3.88
2/28/1963,3.92,3.92,3.92,3.92
3/29/1963,3.93,3.93,3.93,3.93
4/30/1963,3.97,3.97,3.97,3.97
5/31/1963,3.97,3.97,3.97,3.97
6/28/1963,4,4,4,4
7/31/1963,4.01,4.01,4.01,4.01
8/30/1963,3.99,3.99,3.99,3.99
9/30/1963,4.04,4.04,4.04,4.04
10/31/1963,4.07,4.07,4.07,4.07
11/29/1963,4.1,4.1,4.1,4.1
12/31/1963,4.14,4.14,4.14,4.14
1/31/1964,4.15,4.15,4.15,4.15
2/28/1964,4.14,4.14,4.14,4.14
3/31/1964,4.18,4.18,4.18,4.18
4/30/1964,4.2,4.2,4.2,4.2
5/29/1964,4.16,4.16,4.16,4.16
6/30/1964,4.13,4.13,4.13,4.13
7/31/1964,4.13,4.13,4.13,4.13
8/31/1964,4.14,4.14,4.14,4.14
9/30/1964,4.16,4.16,4.16,4.16
10/30/1964,4.16,4.16,4.16,4.16
11/30/1964,4.12,4.12,4.12,4.12
12/31/1964,4.14,4.14,4.14,4.14
1/29/1965,4.14,4.14,4.14,4.14
2/26/1965,4.16,4.16,4.16,4.16
