Date,Open,High,Low,Close
7/24/1989,17.31,17.31,16.97,17
7/25/1989,16.85,16.95,16.81,16.92
7/26/1989,16.72,16.73,16.5,16.6
7/27/1989,16.56,16.81,16.56,16.72
7/28/1989,16.72,16.75,16.57,16.62
7/31/1989,16.4,16.7,16.4,16.67
8/1/1989,16.67,16.82,16.4,16.4
8/2/1989,16.37,16.51,16.31,16.47
8/3/1989,16.58,16.72,16.55,16.58
8/4/1989,16.4,16.56,16.4,16.44
8/7/1989,16.4,16.43,16.28,16.31
8/8/1989,16.32,16.55,16.32,16.55
8/9/1989,16.52,16.64,16.47,16.63
8/10/1989,16.78,16.95,16.78,16.88
8/11/1989,17.03,17.15,16.91,16.91
8/14/1989,16.84,16.84,16.68,16.79
8/15/1989,16.9,16.96,16.82,16.87
8/16/1989,16.9,17.07,16.9,16.96
8/17/1989,16.96,17.02,16.88,16.89
8/18/1989,16.85,16.89,16.82,16.85
8/21/1989,16.9,16.99,16.82,16.83
8/22/1989,17,17.05,16.94,17.01
8/23/1989,16.96,17,16.92,16.96
8/24/1989,16.95,16.97,16.85,16.96
8/25/1989,16.86,16.87,16.8,16.85
8/29/1989,16.95,17.01,16.94,16.99
8/30/1989,16.94,17,16.94,17
8/31/1989,17.11,17.3,17.11,17.24
9/1/1989,17.17,17.23,17.11,17.2
9/4/1989,17.22,17.36,17.22,17.36
9/5/1989,17.3,17.43,17.28,17.42
9/6/1989,17.5,17.79,17.5,17.74
9/7/1989,17.84,17.86,17.67,17.76
9/8/1989,17.47,17.55,17.43,17.52
9/11/1989,17.74,17.75,17.57,17.72
9/12/1989,17.7,17.7,17.59,17.66
9/13/1989,17.65,17.79,17.62,17.77
9/14/1989,17.7,17.84,17.62,17.65
9/15/1989,17.62,17.63,17.5,17.58
9/18/1989,17.81,17.86,17.77,17.78
9/19/1989,17.7,17.71,17.57,17.71
9/20/1989,17.64,17.74,17.62,17.68
9/21/1989,17.83,17.9,17.74,17.75
9/22/1989,17.65,17.72,17.54,17.6
9/25/1989,17.4,17.5,17.18,17.49
9/26/1989,17.37,17.55,17.3,17.5
9/27/1989,17.68,17.9,17.42,17.5
9/28/1989,17.75,17.89,17.65,17.89
9/29/1989,18.1,18.2,18.08,18.16
10/2/1989,18.3,18.45,18.3,18.37
10/3/1989,18.35,18.47,18.3,18.44
10/4/1989,18.45,18.52,18.36,18.51
10/5/1989,18.35,18.35,18.18,18.19
10/6/1989,18.3,18.34,18.15,18.22
10/9/1989,18.15,18.18,18.11,18.12
10/10/1989,18.05,18.18,18.04,18.16
10/11/1989,18.27,18.44,18.27,18.42
10/12/1989,18.38,18.69,18.38,18.62
10/13/1989,18.9,18.97,18.81,18.9
10/16/1989,18.81,18.81,18.55,18.81
10/17/1989,18.9,19.03,18.89,18.97
10/18/1989,19.15,19.2,18.95,18.98
10/19/1989,18.93,18.93,18.65,18.81
10/20/1989,18.8,18.87,18.7,18.74
10/23/1989,18.74,18.74,18.46,18.47
10/24/1989,18.4,18.44,18.32,18.36
10/25/1989,18.47,18.58,18.47,18.51
10/26/1989,18.25,18.25,18.13,18.18
10/27/1989,18.33,18.39,18.25,18.3
10/30/1989,18.58,18.73,18.55,18.68
10/31/1989,18.68,18.7,18.56,18.63
11/1/1989,18.82,19.1,18.82,19.09
11/2/1989,19.1,19.15,19.02,19.04
11/3/1989,18.8,18.91,18.77,18.85
11/6/1989,18.99,19.13,18.95,18.97
11/7/1989,18.9,18.95,18.82,18.93
11/8/1989,18.84,18.89,18.73,18.77
11/9/1989,18.85,19.01,18.85,19
11/10/1989,18.65,18.75,18.65,18.74
11/13/1989,18.55,18.56,18.48,18.49
11/14/1989,18.4,18.5,18.35,18.47
11/15/1989,18.36,18.44,18.33,18.35
11/16/1989,18.4,18.5,18.4,18.44
11/17/1989,18.58,18.61,18.51,18.55
11/20/1989,18.56,18.66,18.54,18.63
11/21/1989,18.64,18.69,18.58,18.58
11/22/1989,18.6,18.6,18.49,18.51
11/23/1989,18.49,18.49,18.34,18.35
11/24/1989,18.38,18.48,18.38,18.44
11/27/1989,18.47,18.49,18.41,18.44
11/28/1989,18.3,18.47,18.26,18.29
11/29/1989,18.15,18.24,18.07,18.08
11/30/1989,18.24,18.5,18.24,18.49
12/1/1989,18.54,18.7,18.5,18.66
12/4/1989,19.05,19.29,19,19.16
12/5/1989,19.05,19.26,19.03,19.04
12/6/1989,19,19.2,18.97,19.15
12/7/1989,19.22,19.41,19.22,19.25
12/8/1989,18.83,18.89,18.77,18.85
12/11/1989,19,19.15,19,19.11
12/12/1989,19.01,19.11,18.92,19.1
12/13/1989,19.18,19.28,19.18,19.22
12/14/1989,19.08,19.17,18.99,19.02
12/15/1989,19.01,19.13,18.99,19.13
12/18/1989,19.34,19.45,19.34,19.37
12/19/1989,19.65,19.7,19.46,19.54
12/20/1989,19.64,19.82,19.48,19.5
12/21/1989,19.45,19.51,19.35,19.49
12/22/1989,19.77,19.77,19.71,19.76
12/27/1989,20.2,20.3,20.1,20.1
12/28/1989,20.14,20.21,19.93,20.04
12/29/1989,20.2,20.28,20.12,20.28
