Date,Open,High,Low,Close
6/2/1969,42.9,42.9,42.9,42.9
6/3/1969,42.5,42.5,42.5,42.5
6/4/1969,42.3,42.3,42.3,42.3
6/5/1969,41.8,41.8,41.8,41.8
6/6/1969,40.9,40.9,40.9,40.9
6/9/1969,41.5,41.5,41.5,41.5
6/10/1969,42.5,42.5,42.5,42.5
6/11/1969,41.6,41.6,41.6,41.6
6/12/1969,41.7,41.7,41.7,41.7
6/13/1969,41.8,41.8,41.8,41.8
6/16/1969,40.8,40.8,40.8,40.8
6/17/1969,41.7,41.7,41.7,41.7
6/18/1969,41.6,41.6,41.6,41.6
6/19/1969,41.6,41.6,41.6,41.6
6/20/1969,41.5,41.5,41.5,41.5
6/23/1969,41.5,41.5,41.5,41.5
6/24/1969,41.2,41.2,41.2,41.2
6/25/1969,41.1,41.1,41.1,41.1
6/26/1969,41.2,41.2,41.2,41.2
6/27/1969,41.3,41.3,41.3,41.3
6/30/1969,41.4,41.4,41.4,41.4
7/1/1969,41.4,41.4,41.4,41.4
7/2/1969,41.4,41.4,41.4,41.4
7/3/1969,41.8,41.8,41.8,41.8
7/7/1969,42,42,42,42
7/8/1969,42.3,42.3,42.3,42.3
7/9/1969,42,42,42,42
7/10/1969,42.1,42.1,42.1,42.1
7/11/1969,42.1,42.1,42.1,42.1
7/14/1969,42.2,42.2,42.2,42.2
7/15/1969,42.2,42.2,42.2,42.2
7/16/1969,42,42,42,42
7/17/1969,42.2,42.2,42.2,42.2
7/18/1969,42.2,42.2,42.2,42.2
7/22/1969,42.1,42.1,42.1,42.1
7/23/1969,42,42,42,42
7/24/1969,42.1,42.1,42.1,42.1
7/25/1969,42.1,42.1,42.1,42.1
7/28/1969,42,42,42,42
7/29/1969,41.7,41.7,41.7,41.7
7/30/1969,41.7,41.7,41.7,41.7
7/31/1969,41.6,41.6,41.6,41.6
8/1/1969,41.6,41.6,41.6,41.6
8/4/1969,41.5,41.5,41.5,41.5
8/5/1969,41.3,41.3,41.3,41.3
8/6/1969,41.2,41.2,41.2,41.2
8/7/1969,41.3,41.3,41.3,41.3
8/8/1969,41.3,41.3,41.3,41.3
8/11/1969,41.4,41.4,41.4,41.4
8/12/1969,41.3,41.3,41.3,41.3
8/13/1969,41.4,41.4,41.4,41.4
8/14/1969,41.4,41.4,41.4,41.4
8/15/1969,41.1,41.1,41.1,41.1
8/18/1969,41.4,41.4,41.4,41.4
8/19/1969,41.1,41.1,41.1,41.1
8/20/1969,41.3,41.3,41.3,41.3
8/21/1969,41.3,41.3,41.3,41.3
8/22/1969,41.3,41.3,41.3,41.3
8/25/1969,41.1,41.1,41.1,41.1
8/26/1969,41.1,41.1,41.1,41.1
8/27/1969,41.2,41.2,41.2,41.2
8/28/1969,40.9,40.9,40.9,40.9
8/29/1969,41.1,41.1,41.1,41.1
9/2/1969,40.9,40.9,40.9,40.9
9/3/1969,41,41,41,41
9/4/1969,41.1,41.1,41.1,41.1
9/5/1969,41.1,41.1,41.1,41.1
9/8/1969,41.1,41.1,41.1,41.1
9/9/1969,41.2,41.2,41.2,41.2
9/10/1969,41.1,41.1,41.1,41.1
9/11/1969,41.1,41.1,41.1,41.1
9/12/1969,41.3,41.3,41.3,41.3
9/15/1969,41.2,41.2,41.2,41.2
9/16/1969,41.2,41.2,41.2,41.2
9/17/1969,41.2,41.2,41.2,41.2
9/18/1969,41.1,41.1,41.1,41.1
9/19/1969,41.1,41.1,41.1,41.1
9/22/1969,41.1,41.1,41.1,41.1
9/23/1969,41.1,41.1,41.1,41.1
9/24/1969,41,41,41,41
9/25/1969,41,41,41,41
9/26/1969,41,41,41,41
9/29/1969,40.9,40.9,40.9,40.9
