Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
12/3/1984,0.7245,0.7245,0.7245,0.7245
12/4/1984,0.7254,0.7254,0.7254,0.7254
12/5/1984,0.723,0.723,0.723,0.723
12/6/1984,0.7162,0.7162,0.7162,0.7162
12/7/1984,0.71,0.71,0.71,0.71
12/10/1984,0.706,0.706,0.706,0.706
12/11/1984,0.701,0.701,0.701,0.701
12/12/1984,0.6935,0.6935,0.6935,0.6935
12/13/1984,0.69,0.69,0.69,0.69
12/14/1984,0.685,0.685,0.685,0.685
12/17/1984,0.69,0.69,0.69,0.69
12/18/1984,0.69,0.69,0.69,0.69
12/19/1984,0.6745,0.6745,0.6745,0.6745
12/20/1984,0.6665,0.6665,0.6665,0.6665
12/21/1984,0.6745,0.6745,0.6745,0.6745
12/26/1984,0.684,0.684,0.684,0.684
12/27/1984,0.675,0.675,0.675,0.675
12/28/1984,0.681,0.681,0.681,0.681
1/2/1985,0.662,0.662,0.662,0.662
1/3/1985,0.662,0.662,0.662,0.662
1/4/1985,0.662,0.662,0.662,0.662
1/7/1985,0.6715,0.6715,0.6715,0.6715
1/8/1985,0.6695,0.6695,0.6695,0.6695
1/9/1985,0.668,0.668,0.668,0.668
1/10/1985,0.6805,0.6805,0.6805,0.6805
1/11/1985,0.691,0.691,0.691,0.691
1/14/1985,0.699,0.699,0.699,0.699
1/15/1985,0.6935,0.6935,0.6935,0.6935
1/16/1985,0.691,0.691,0.691,0.691
1/17/1985,0.7,0.7,0.7,0.7
1/18/1985,0.6975,0.6975,0.6975,0.6975
1/21/1985,0.699,0.699,0.699,0.699
1/22/1985,0.693,0.693,0.693,0.693
1/23/1985,0.6925,0.6925,0.6925,0.6925
1/24/1985,0.695,0.695,0.695,0.695
1/25/1985,0.7035,0.7035,0.7035,0.7035
1/28/1985,0.706,0.706,0.706,0.706
1/29/1985,0.72,0.72,0.72,0.72
1/30/1985,0.73,0.73,0.73,0.73
1/31/1985,0.7225,0.7225,0.7225,0.7225
2/1/1985,0.7155,0.7155,0.7155,0.7155
2/4/1985,0.71,0.71,0.71,0.71
2/5/1985,0.716,0.716,0.716,0.716
2/6/1985,0.7275,0.7275,0.7275,0.7275
2/7/1985,0.7275,0.7275,0.7275,0.7275
2/8/1985,0.7333,0.7333,0.7333,0.7333
2/11/1985,0.747,0.747,0.747,0.747
2/12/1985,0.73,0.73,0.73,0.73
2/13/1985,0.745,0.745,0.745,0.745
2/14/1985,0.748,0.748,0.748,0.748
2/15/1985,0.763,0.763,0.763,0.763
2/19/1985,0.768,0.768,0.768,0.768
2/20/1985,0.779,0.779,0.779,0.779
2/21/1985,0.788,0.788,0.788,0.788
2/22/1985,0.769,0.769,0.769,0.769
2/25/1985,0.76,0.76,0.76,0.76
2/26/1985,0.77,0.77,0.77,0.77
2/27/1985,0.77,0.77,0.77,0.77
2/28/1985,0.749,0.749,0.749,0.749
3/1/1985,0.7498,0.7498,0.7498,0.7498
3/4/1985,0.76,0.76,0.76,0.76
3/5/1985,0.7494,0.7494,0.7494,0.7494
3/6/1985,0.7505,0.7505,0.7505,0.7505
3/7/1985,0.7605,0.7605,0.7605,0.7605
3/8/1985,0.76,0.76,0.76,0.76
3/11/1985,0.7595,0.7595,0.7595,0.7595
3/12/1985,0.7775,0.7775,0.7775,0.7775
3/13/1985,0.7875,0.7875,0.7875,0.7875
3/14/1985,0.79,0.79,0.79,0.79
3/15/1985,0.79,0.79,0.79,0.79
3/18/1985,0.815,0.815,0.815,0.815
3/19/1985,0.815,0.815,0.815,0.815
3/20/1985,0.8228,0.8228,0.8228,0.8228
3/21/1985,0.8345,0.8345,0.8345,0.8345
3/22/1985,0.8346,0.8346,0.8346,0.8346
3/25/1985,0.83,0.83,0.83,0.83
3/26/1985,0.8359,0.8359,0.8359,0.8359
3/27/1985,0.828,0.828,0.828,0.828
3/28/1985,0.8275,0.8275,0.8275,0.8275
3/29/1985,0.8122,0.8122,0.8122,0.8122
4/1/1985,0.825,0.825,0.825,0.825
4/2/1985,0.8335,0.8335,0.8335,0.8335
4/3/1985,0.8325,0.8325,0.8325,0.8325
4/4/1985,0.8385,0.8385,0.8385,0.8385
4/8/1985,0.8525,0.8525,0.8525,0.8525
