Date,Open,High,Low,Close
1/4/1971,4.318,4.318,4.318,4.318
1/5/1971,4.3117,4.3117,4.3117,4.3117
1/6/1971,4.3114,4.3114,4.3114,4.3114
1/7/1971,4.3103,4.3103,4.3103,4.3103
1/8/1971,4.311,4.311,4.311,4.311
1/11/1971,4.3104,4.3104,4.3104,4.3104
1/12/1971,4.3098,4.3098,4.3098,4.3098
1/13/1971,4.3097,4.3097,4.3097,4.3097
1/14/1971,4.3094,4.3094,4.3094,4.3094
1/15/1971,4.3075,4.3075,4.3075,4.3075
1/18/1971,4.3028,4.3028,4.3028,4.3028
1/19/1971,4.3007,4.3007,4.3007,4.3007
1/20/1971,4.3011,4.3011,4.3011,4.3011
1/21/1971,4.3018,4.3018,4.3018,4.3018
1/22/1971,4.2998,4.2998,4.2998,4.2998
1/25/1971,4.3006,4.3006,4.3006,4.3006
1/26/1971,4.2988,4.2988,4.2988,4.2988
1/27/1971,4.2973,4.2973,4.2973,4.2973
1/28/1971,4.2977,4.2977,4.2977,4.2977
1/29/1971,4.2961,4.2961,4.2961,4.2961
2/1/1971,4.2966,4.2966,4.2966,4.2966
2/2/1971,4.2968,4.2968,4.2968,4.2968
2/3/1971,4.2964,4.2964,4.2964,4.2964
2/4/1971,4.2964,4.2964,4.2964,4.2964
2/5/1971,4.2967,4.2967,4.2967,4.2967
2/8/1971,4.2977,4.2977,4.2977,4.2977
2/9/1971,4.2967,4.2967,4.2967,4.2967
2/10/1971,4.2971,4.2971,4.2971,4.2971
2/11/1971,4.2966,4.2966,4.2966,4.2966
2/16/1971,4.2967,4.2967,4.2967,4.2967
2/17/1971,4.2967,4.2967,4.2967,4.2967
2/18/1971,4.2965,4.2965,4.2965,4.2965
2/19/1971,4.2965,4.2965,4.2965,4.2965
2/22/1971,4.2959,4.2959,4.2959,4.2959
2/23/1971,4.2957,4.2957,4.2957,4.2957
2/24/1971,4.3013,4.3013,4.3013,4.3013
2/25/1971,4.3075,4.3075,4.3075,4.3075
2/26/1971,4.3073,4.3073,4.3073,4.3073
3/1/1971,4.3071,4.3071,4.3071,4.3071
3/2/1971,4.3051,4.3051,4.3051,4.3051
3/3/1971,4.3037,4.3037,4.3037,4.3037
3/4/1971,4.307,4.307,4.307,4.307
3/5/1971,4.3067,4.3067,4.3067,4.3067
3/8/1971,4.302,4.302,4.302,4.302
