Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
3/1/1900,0.2047,0.2047,0.2047,0.2047
6/1/1900,0.2047,0.2047,0.2043,0.2043
9/1/1900,0.2043,0.2062,0.2043,0.2062
12/1/1900,0.2062,0.2062,0.2058,0.2058
3/1/1901,0.2058,0.2058,0.2056,0.2056
6/1/1901,0.2056,0.2058,0.2056,0.2058
9/1/1901,0.2058,0.2058,0.2043,0.2043
12/1/1901,0.2043,0.2051,0.2043,0.2051
3/1/1902,0.2051,0.2051,0.2051,0.2051
6/1/1902,0.2051,0.2056,0.2051,0.2056
9/1/1902,0.2056,0.2056,0.2045,0.2045
12/1/1902,0.2045,0.2051,0.2045,0.2051
3/1/1903,0.2051,0.2051,0.2051,0.2051
6/1/1903,0.2051,0.2051,0.2045,0.2045
9/1/1903,0.2045,0.2064,0.2045,0.2064
12/1/1903,0.2064,0.2064,0.206,0.206
3/1/1904,0.206,0.206,0.206,0.206
6/1/1904,0.206,0.206,0.206,0.206
9/1/1904,0.206,0.206,0.2043,0.2043
12/1/1904,0.2043,0.2049,0.2043,0.2049
3/1/1905,0.2049,0.2053,0.2049,0.2053
6/1/1905,0.2053,0.2053,0.2049,0.2049
9/1/1905,0.2049,0.2062,0.2049,0.2062
12/1/1905,0.2062,0.2062,0.2059,0.2059
3/1/1906,0.2059,0.2059,0.2053,0.2053
6/1/1906,0.2053,0.2053,0.2049,0.2049
9/1/1906,0.2049,0.2066,0.2049,0.2066
12/1/1906,0.2066,0.2066,0.2066,0.2066
3/1/1907,0.2066,0.2066,0.2063,0.2063
6/1/1907,0.2063,0.2063,0.2046,0.2046
9/1/1907,0.2046,0.2072,0.2046,0.2072
12/1/1907,0.2072,0.2072,0.2065,0.2065
3/1/1908,0.2065,0.2065,0.2063,0.2063
6/1/1908,0.2063,0.2063,0.2063,0.2063
9/1/1908,0.2063,0.2063,0.2052,0.2052
12/1/1908,0.2052,0.2053,0.2052,0.2053
3/1/1909,0.2053,0.2053,0.2052,0.2052
