Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1/4/1971,357.73,357.73,357.73,357.73
1/5/1971,357.81,357.81,357.81,357.81
1/6/1971,357.87,357.87,357.87,357.87
1/7/1971,357.87,357.87,357.87,357.87
1/8/1971,357.83,357.83,357.83,357.83
1/11/1971,357.97,357.97,357.97,357.97
1/12/1971,358.04,358.04,358.04,358.04
1/13/1971,358.46,358.46,358.46,358.46
1/14/1971,358.39,358.39,358.39,358.39
1/15/1971,358.4,358.4,358.4,358.4
1/18/1971,358.27,358.27,358.27,358.27
1/19/1971,358.36,358.36,358.36,358.36
1/20/1971,358.42,358.42,358.42,358.42
1/21/1971,358.28,358.28,358.28,358.28
1/22/1971,357.91,357.91,357.91,357.91
1/25/1971,357.74,357.74,357.74,357.74
1/26/1971,357.78,357.78,357.78,357.78
1/27/1971,357.79,357.79,357.79,357.79
1/28/1971,357.82,357.82,357.82,357.82
1/29/1971,357.71,357.71,357.71,357.71
2/1/1971,357.65,357.65,357.65,357.65
2/2/1971,357.54,357.54,357.54,357.54
2/3/1971,357.53,357.53,357.53,357.53
2/4/1971,357.49,357.49,357.49,357.49
2/5/1971,357.51,357.51,357.51,357.51
2/8/1971,357.48,357.48,357.48,357.48
2/9/1971,357.49,357.49,357.49,357.49
2/10/1971,357.49,357.49,357.49,357.49
2/11/1971,357.49,357.49,357.49,357.49
2/16/1971,357.52,357.52,357.52,357.52
2/17/1971,357.52,357.52,357.52,357.52
2/18/1971,357.51,357.51,357.51,357.51
2/19/1971,357.58,357.58,357.58,357.58
2/22/1971,357.61,357.61,357.61,357.61
2/23/1971,357.55,357.55,357.55,357.55
2/24/1971,357.59,357.59,357.59,357.59
2/25/1971,357.58,357.58,357.58,357.58
2/26/1971,357.57,357.57,357.57,357.57
3/1/1971,357.61,357.61,357.61,357.61
3/2/1971,357.54,357.54,357.54,357.54
3/3/1971,357.47,357.47,357.47,357.47
3/4/1971,357.47,357.47,357.47,357.47
3/5/1971,357.6,357.6,357.6,357.6
