Date,Open,High,Low,Close
12/23/1980,372.85,376.23,366.89,370.27
12/24/1980,369.67,373.45,366.89,371.36
12/26/1980,371.86,374.54,369.67,372.95
12/29/1980,373.45,375.33,367.49,368.98
12/30/1980,368.28,372.65,366.1,369.77
12/31/1980,369.87,373.45,367.39,370.77
1/2/1981,371.26,375.43,368.68,373.94
1/5/1981,376.13,382.88,374.44,380.89
1/6/1981,382.28,382.88,374.44,380.89
1/7/1981,368.68,375.14,365.6,372.65
1/8/1981,372.55,374.74,364.61,366.7
1/9/1981,366.89,370.86,363.12,367.19
1/12/1981,371.06,373.64,366.1,368.18
1/13/1981,367.39,369.77,363.42,366.99
1/14/1981,367.99,371.96,365.6,367.89
1/15/1981,367.89,372.55,366.1,370.57
1/16/1981,372.16,376.23,369.18,373.35
1/19/1981,373.64,377.52,370.67,373.84
1/20/1981,373.74,376.43,366,366.79
1/21/1981,365.01,368.58,361.83,365.2
1/22/1981,365.5,367.59,360.34,363.52
1/23/1981,363.02,365.9,360.34,362.72
1/26/1981,363.02,365.6,358.75,361.63
1/27/1981,361.93,367.69,360.34,365.5
1/28/1981,366.7,369.87,362.52,364.71
1/29/1981,364.31,369.87,362.13,366.89
1/30/1981,367.29,372.06,364.31,367.79
2/2/1981,366.3,367.89,358.06,361.23
2/3/1981,360.14,365.8,357.56,364.11
2/4/1981,365.01,367.89,361.43,365.2
2/5/1981,365.6,370.17,363.32,367.59
2/6/1981,368.08,373.35,366.3,370.37
2/9/1981,370.96,373.05,365.7,372.26
2/10/1981,366.1,369.57,363.62,366.79
2/11/1981,366.7,368.48,362.23,363.82
2/12/1981,363.12,365.2,359.15,360.84
2/13/1981,359.64,361.83,356.57,358.45
2/17/1981,358.65,362.52,356.77,360.24
2/18/1981,360.84,364.21,358.26,362.23
2/19/1981,362.72,364.01,355.47,356.86
2/20/1981,355.97,359.25,352.79,356.07
2/23/1981,355.97,361.04,353.39,358.06
2/24/1981,359.05,362.62,356.27,359.15
2/25/1981,359.15,362.92,352.99,360.24
2/26/1981,363.02,367.09,359.84,364.81
2/27/1981,365.6,369.77,362.62,367.39
3/2/1981,366.89,372.06,364.41,370.27
3/3/1981,370.47,372.75,365.5,367.59
3/4/1981,367.59,374.24,365.6,371.26
3/5/1981,370.86,374.24,367.09,369.77
3/6/1981,369.97,372.55,366.2,369.57
3/9/1981,370.17,374.84,368.08,372.65
3/10/1981,373.55,376.62,369.67,371.56
3/11/1981,371.26,373.55,366.79,370.07
3/12/1981,370.86,379.8,369.67,379.21
3/13/1981,382.38,385.26,377.02,379.21
3/16/1981,379.21,385.96,376.72,384.96
3/17/1981,385.56,388.74,379.5,382.08
