Date,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1/22/1900,78,78,78,78
1/23/1900,77.03,77.03,77.03,77.03
1/24/1900,77.41,77.41,77.41,77.41
1/25/1900,77.85,77.85,77.85,77.85
1/26/1900,77.13,77.13,77.13,77.13
1/29/1900,76.96,76.96,76.96,76.96
1/30/1900,77.86,77.86,77.86,77.86
1/31/1900,78.08,78.08,78.08,78.08
2/1/1900,78.17,78.17,78.17,78.17
2/2/1900,78.84,78.84,78.84,78.84
2/5/1900,79.83,79.83,79.83,79.83
2/6/1900,80.51,80.51,80.51,80.51
2/7/1900,80.11,80.11,80.11,80.11
2/8/1900,79.61,79.61,79.61,79.61
2/9/1900,79.28,79.28,79.28,79.28
2/13/1900,79.6,79.6,79.6,79.6
2/14/1900,79.63,79.63,79.63,79.63
2/15/1900,79.58,79.58,79.58,79.58
2/16/1900,79.16,79.16,79.16,79.16
2/19/1900,79.28,79.28,79.28,79.28
2/20/1900,79.22,79.22,79.22,79.22
2/21/1900,79.1,79.1,79.1,79.1
2/23/1900,78.6,78.6,78.6,78.6
2/26/1900,78.23,78.23,78.23,78.23
2/27/1900,78.08,78.08,78.08,78.08
2/28/1900,78.78,78.78,78.78,78.78
3/1/1900,78.58,78.58,78.58,78.58
3/2/1900,77.86,77.86,77.86,77.86
3/5/1900,78.11,78.11,78.11,78.11
3/6/1900,78.02,78.02,78.02,78.02
3/7/1900,77.97,77.97,77.97,77.97
3/8/1900,77.69,77.69,77.69,77.69
3/9/1900,77.7,77.7,77.7,77.7
3/12/1900,79.05,79.05,79.05,79.05
3/13/1900,79.14,79.14,79.14,79.14
3/14/1900,78.69,78.69,78.69,78.69
3/15/1900,78.63,78.63,78.63,78.63
3/16/1900,78.48,78.48,78.48,78.48
3/19/1900,78.82,78.82,78.82,78.82
3/20/1900,79.58,79.58,79.58,79.58
3/21/1900,80.03,80.03,80.03,80.03
3/22/1900,80.71,80.71,80.71,80.71
3/23/1900,80.17,80.17,80.17,80.17
3/26/1900,81.5,81.5,81.5,81.5
3/27/1900,81.65,81.65,81.65,81.65
3/28/1900,82.2,82.2,82.2,82.2
3/29/1900,81.99,81.99,81.99,81.99
3/30/1900,82.08,82.08,82.08,82.08
4/2/1900,82.19,82.19,82.19,82.19
4/3/1900,82.35,82.35,82.35,82.35
4/4/1900,82.65,82.65,82.65,82.65
4/5/1900,82.23,82.23,82.23,82.23
4/6/1900,82.3,82.3,82.3,82.3
4/9/1900,82.59,82.59,82.59,82.59
4/10/1900,81.88,81.88,81.88,81.88
4/11/1900,81.96,81.96,81.96,81.96
4/12/1900,82.47,82.47,82.47,82.47
4/16/1900,81.45,81.45,81.45,81.45
4/17/1900,80.99,80.99,80.99,80.99
4/18/1900,80.97,80.97,80.97,80.97
4/19/1900,80.98,80.98,80.98,80.98
4/20/1900,81.58,81.58,81.58,81.58
4/23/1900,80.08,80.08,80.08,80.08
4/24/1900,79.89,79.89,79.89,79.89
4/25/1900,80.02,80.02,80.02,80.02
4/26/1900,80.88,80.88,80.88,80.88
4/27/1900,80.38,80.38,80.38,80.38
4/30/1900,79.51,79.51,79.51,79.51
5/1/1900,79.77,79.77,79.77,79.77
5/2/1900,79.17,79.17,79.17,79.17
5/3/1900,79.51,79.51,79.51,79.51
5/4/1900,79.68,79.68,79.68,79.68
5/7/1900,79.21,79.21,79.21,79.21
5/8/1900,77.71,77.71,77.71,77.71
5/9/1900,77.55,77.55,77.55,77.55
5/10/1900,78.09,78.09,78.09,78.09
