Date,Open,High,Low,Close
11/24/1969,158.5,158.5,158.5,158.5
11/25/1969,156.78,156.78,156.78,156.78
11/26/1969,155.35,155.35,155.35,155.35
11/27/1969,155.51,155.51,155.51,155.51
11/28/1969,157.01,157.01,157.01,157.01
12/1/1969,152.71,152.71,152.71,152.71
12/2/1969,150.98,150.98,150.98,150.98
12/3/1969,150.86,150.86,150.86,150.86
12/4/1969,149.73,149.73,149.73,149.73
12/5/1969,147.33,147.33,147.33,147.33
12/8/1969,149.19,149.19,149.19,149.19
12/9/1969,149.53,149.53,149.53,149.53
12/10/1969,149.04,149.04,149.04,149.04
12/11/1969,150.95,150.95,150.95,150.95
12/12/1969,152.25,152.25,152.25,152.25
12/15/1969,151.59,151.59,151.59,151.59
12/16/1969,150.47,150.47,150.47,150.47
12/17/1969,150.64,150.64,150.64,150.64
12/18/1969,150.24,150.24,150.24,150.24
12/19/1969,150.27,150.27,150.27,150.27
12/22/1969,150.56,150.56,150.56,150.56
12/23/1969,150.79,150.79,150.79,150.79
12/24/1969,151.75,151.75,151.75,151.75
12/29/1969,153.52,153.52,153.52,153.52
12/30/1969,155.47,155.47,155.47,155.47
12/31/1969,155.47,155.47,155.47,155.47
1/2/1970,155.38,155.38,155.38,155.38
1/5/1970,154.75,154.75,154.75,154.75
1/6/1970,155.45,155.45,155.45,155.45
1/7/1970,155.73,155.73,155.73,155.73
1/8/1970,156.96,156.96,156.96,156.96
1/9/1970,156.23,156.23,156.23,156.23
1/12/1970,156.68,156.68,156.68,156.68
1/13/1970,156.78,156.78,156.78,156.78
1/14/1970,156.23,156.23,156.23,156.23
1/15/1970,156.88,156.88,156.88,156.88
1/16/1970,157.84,157.84,157.84,157.84
1/19/1970,158.52,158.52,158.52,158.52
1/20/1970,159.16,159.16,159.16,159.16
1/21/1970,160.69,160.69,160.69,160.69
1/22/1970,161.06,161.06,161.06,161.06
1/23/1970,160.58,160.58,160.58,160.58
1/26/1970,160.06,160.06,160.06,160.06
1/27/1970,160.62,160.62,160.62,160.62
1/28/1970,160.79,160.79,160.79,160.79
1/29/1970,161.45,161.45,161.45,161.45
1/30/1970,164.11,164.11,164.11,164.11
2/2/1970,165.23,165.23,165.23,165.23
2/3/1970,164.89,164.89,164.89,164.89
2/4/1970,165.57,165.57,165.57,165.57
2/5/1970,167.29,167.29,167.29,167.29
2/10/1970,168.41,168.41,168.41,168.41
2/11/1970,168.49,168.49,168.49,168.49
2/12/1970,166.6,166.6,166.6,166.6
2/13/1970,166.22,166.22,166.22,166.22
2/16/1970,166.33,166.33,166.33,166.33
2/17/1970,166.67,166.67,166.67,166.67
2/18/1970,167.4,167.4,167.4,167.4
2/19/1970,167.41,167.41,167.41,167.41
2/20/1970,169.11,169.11,169.11,169.11
2/23/1970,171.46,171.46,171.46,171.46
2/24/1970,171.77,171.77,171.77,171.77
2/25/1970,171.42,171.42,171.42,171.42
2/26/1970,173.18,173.18,173.18,173.18
2/27/1970,174.06,174.06,174.06,174.06
3/2/1970,174.93,174.93,174.93,174.93
3/3/1970,174.6,174.6,174.6,174.6
3/4/1970,177.38,177.38,177.38,177.38
3/5/1970,179.8,179.8,179.8,179.8
3/6/1970,183.18,183.18,183.18,183.18
