Date,Open,High,Low,Close
1/3/1938,5.65,5.75,5.59,5.63
1/4/1938,5.75,5.91,5.75,5.88
1/5/1938,5.84,5.97,5.83,5.85
1/6/1938,5.94,6.12,5.94,6.11
1/7/1938,6.1,6.12,6.02,6.06
1/8/1938,6.12,6.24,6.12,6.22
1/10/1938,6.22,6.39,6.22,6.35
1/11/1938,6.36,6.41,6.3,6.4
1/12/1938,6.39,6.42,6.32,6.34
1/13/1938,6.32,6.33,6.23,6.25
1/14/1938,6.25,6.29,6.19,6.26
1/15/1938,6.26,6.4,6.26,6.37
1/17/1938,6.33,6.34,6.23,6.24
1/18/1938,6.23,6.25,6.15,6.18
1/19/1938,6.19,6.2,6.06,6.12
1/20/1938,6.14,6.25,6.14,6.24
1/21/1938,6.19,6.24,6.11,6.12
1/22/1938,6.12,6.12,6.08,6.1
1/24/1938,6.1,6.12,6.06,6.09
1/25/1938,6.05,6.05,5.98,6
1/26/1938,5.9,5.9,5.71,5.77
1/27/1938,5.76,5.82,5.63,5.69
1/28/1938,5.68,5.71,5.55,5.64
1/29/1938,5.64,5.68,5.6,5.62
1/31/1938,5.63,5.73,5.63,5.71
2/1/1938,5.76,5.85,5.76,5.82
2/2/1938,5.78,5.83,5.72,5.74
2/3/1938,5.66,5.66,5.49,5.52
2/4/1938,5.54,5.65,5.47,5.63
2/5/1938,5.65,5.77,5.65,5.75
2/7/1938,5.71,5.73,5.62,5.64
2/8/1938,5.72,5.88,5.72,5.86
2/9/1938,5.84,5.91,5.8,5.82
2/10/1938,5.84,5.94,5.82,5.86
2/11/1938,5.86,5.91,5.82,5.84
2/14/1938,5.84,5.9,5.84,5.88
2/15/1938,5.87,5.91,5.8,5.81
2/16/1938,5.8,5.82,5.73,5.8
2/17/1938,5.83,5.99,5.83,5.95
2/18/1938,5.94,5.99,5.85,5.88
2/19/1938,5.92,5.98,5.92,5.97
2/21/1938,5.98,6.11,5.98,6.07
2/23/1938,6.15,6.25,6.15,6.23
2/24/1938,6.2,6.2,6.12,6.14
2/25/1938,6.14,6.23,6.09,6.17
2/26/1938,6.17,6.18,6.14,6.16
2/28/1938,6.11,6.11,6,6.05
3/1/1938,6.07,6.13,6.03,6.11
3/2/1938,6.11,6.11,6.04,6.05
3/3/1938,6.02,6.02,5.96,5.99
3/4/1938,5.95,6.02,5.92,5.93
3/5/1938,5.93,5.95,5.91,5.93
3/7/1938,5.9,5.9,5.79,5.8
3/8/1938,5.8,5.83,5.68,5.8
3/9/1938,5.79,5.86,5.75,5.8
3/10/1938,5.79,5.82,5.73,5.74
3/11/1938,5.71,5.71,5.62,5.64
3/12/1938,5.64,5.67,5.62,5.65
3/14/1938,5.71,5.78,5.71,5.74
3/15/1938,5.79,5.93,5.79,5.92
3/16/1938,5.81,5.81,5.61,5.66
3/17/1938,5.65,5.73,5.6,5.61
3/18/1938,5.59,5.59,5.38,5.43
3/19/1938,5.51,5.57,5.51,5.54
3/21/1938,5.53,5.63,5.52,5.53
3/22/1938,5.5,5.51,5.33,5.36
3/23/1938,5.33,5.33,5.18,5.25
3/24/1938,5.25,5.33,5.18,5.27
3/25/1938,5.24,5.24,4.96,4.98
3/26/1938,4.99,5.03,4.88,4.9
3/28/1938,4.9,4.99,4.86,4.93
3/29/1938,4.83,4.83,4.63,4.65
3/30/1938,4.63,4.72,4.55,4.59
3/31/1938,4.61,4.7,4.45,4.52
4/1/1938,4.65,4.76,4.65,4.74
4/2/1938,4.86,4.97,4.86,4.93
4/4/1938,4.94,4.97,4.86,4.92
4/5/1938,4.92,5.06,4.88,5.04
4/6/1938,5,5,4.9,4.93
4/7/1938,4.94,4.96,4.87,4.89
4/8/1938,4.99,5.14,4.99,5.12
4/9/1938,5.35,5.48,5.35,5.46
4/11/1938,5.4,5.42,5.27,5.29
4/12/1938,5.3,5.36,5.24,5.34
4/13/1938,5.32,5.43,5.32,5.37
4/14/1938,5.33,5.46,5.27,5.42
4/16/1938,5.53,5.67,5.53,5.64
4/18/1938,5.62,5.65,5.51,5.53
4/19/1938,5.47,5.47,5.36,5.37
4/20/1938,5.37,5.37,5.23,5.35
4/21/1938,5.38,5.42,5.34,5.4
4/22/1938,5.42,5.61,5.42,5.55
4/23/1938,5.55,5.58,5.5,5.51
4/25/1938,5.46,5.46,5.39,5.42
4/26/1938,5.38,5.38,5.28,5.29
4/27/1938,5.33,5.4,5.33,5.35
4/28/1938,5.32,5.32,5.17,5.19
4/29/1938,5.2,5.2,5.1,5.19
4/30/1938,5.17,5.18,5.14,5.15
5/2/1938,5.11,5.11,5.06,5.09
5/3/1938,5.14,5.25,5.14,5.23
5/4/1938,5.26,5.33,5.21,5.31
5/5/1938,5.31,5.38,5.27,5.29
5/6/1938,5.36,5.55,5.35,5.54
5/7/1938,5.52,5.56,5.49,5.52
5/9/1938,5.54,5.66,5.5,5.64
5/10/1938,5.6,5.65,5.53,5.54
5/11/1938,5.54,5.62,5.53,5.57
5/12/1938,5.53,5.59,5.5,5.53
5/13/1938,5.51,5.51,5.42,5.44
5/14/1938,5.44,5.46,5.42,5.45
5/16/1938,5.43,5.43,5.34,5.35
5/17/1938,5.33,5.39,5.3,5.38
5/18/1938,5.39,5.44,5.38,5.42
5/19/1938,5.44,5.45,5.34,5.36
5/20/1938,5.3,5.3,5.24,5.28
5/21/1938,5.26,5.26,5.2,5.21
5/23/1938,5.21,5.26,5.19,5.24
5/24/1938,5.22,5.25,5.14,5.15
5/25/1938,5.13,5.13,5.05,5.06
5/26/1938,5.03,5.06,4.91,4.92
5/27/1938,4.93,4.94,4.84,4.92
5/28/1938,4.96,5.01,4.96,4.98
5/31/1938,4.95,4.95,4.88,4.91
6/1/1938,4.94,5.09,4.93,5.07
6/2/1938,5.05,5.11,5.04,5.05
6/3/1938,5.03,5.03,4.97,4.99
6/4/1938,5.03,5.13,5.03,5.11
6/6/1938,5.11,5.21,5.11,5.16
6/7/1938,5.14,5.2,5.12,5.14
6/8/1938,5.12,5.16,5.11,5.15
6/9/1938,5.18,5.28,5.18,5.26
6/10/1938,5.24,5.26,5.18,5.19
6/11/1938,5.19,5.19,5.17,5.17
6/13/1938,5.11,5.11,5.03,5.04
6/14/1938,5.05,5.11,5.04,5.1
6/15/1938,5.1,5.17,5.1,5.12
6/16/1938,5.13,5.18,5.12,5.17
6/17/1938,5.16,5.18,5.1,5.12
6/18/1938,5.11,5.13,5.11,5.12
6/20/1938,5.24,5.41,5.24,5.39
6/21/1938,5.43,5.58,5.43,5.53
6/22/1938,5.55,5.71,5.52,5.68
6/23/1938,5.68,5.89,5.67,5.83
6/24/1938,5.82,5.97,5.82,5.9
6/25/1938,5.9,6.03,5.84,6.02
6/27/1938,6.02,6.07,5.92,5.95
6/28/1938,5.95,6.03,5.9,5.95
6/29/1938,5.95,6.21,5.95,6.2
6/30/1938,6.2,6.31,6.08,6.11
7/1/1938,6.17,6.32,6.16,6.3
7/2/1938,6.34,6.44,6.34,6.42
7/5/1938,6.43,6.43,6.27,6.33
7/6/1938,6.36,6.44,6.27,6.42
7/7/1938,6.41,6.51,6.34,6.39
7/8/1938,6.34,6.34,6.22,6.28
7/9/1938,6.3,6.34,6.27,6.32
7/11/1938,6.27,6.29,6.17,6.2
7/12/1938,6.23,6.39,6.19,6.36
7/13/1938,6.34,6.48,6.3,6.31
7/14/1938,6.31,6.35,6.23,6.25
7/15/1938,6.27,6.38,6.25,6.34
7/16/1938,6.36,6.43,6.36,6.4
7/18/1938,6.43,6.54,6.39,6.52
7/19/1938,6.58,6.71,6.58,6.69
7/20/1938,6.71,6.72,6.58,6.62
7/21/1938,6.62,6.69,6.56,6.62
7/22/1938,6.6,6.66,6.57,6.62
7/23/1938,6.64,6.75,6.64,6.74
7/25/1938,6.72,6.82,6.72,6.76
7/26/1938,6.7,6.7,6.62,6.66
7/27/1938,6.61,6.64,6.43,6.46
7/28/1938,6.49,6.6,6.46,6.58
7/29/1938,6.55,6.62,6.49,6.5
7/30/1938,6.54,6.57,6.51,6.54
8/1/1938,6.49,6.49,6.44,6.46
8/2/1938,6.47,6.57,6.45,6.55
8/3/1938,6.5,6.57,6.46,6.49
8/4/1938,6.51,6.56,6.48,6.53
8/5/1938,6.58,6.69,6.58,6.68
8/6/1938,6.71,6.78,6.71,6.75
8/8/1938,6.78,6.79,6.69,6.71
8/9/1938,6.7,6.7,6.59,6.67
8/10/1938,6.62,6.64,6.56,6.58
8/11/1938,6.56,6.58,6.4,6.42
8/12/1938,6.37,6.37,6.23,6.28
8/13/1938,6.28,6.29,6.25,6.26
8/15/1938,6.26,6.33,6.26,6.28
8/16/1938,6.31,6.41,6.31,6.37
8/17/1938,6.36,6.46,6.36,6.38
8/18/1938,6.35,6.39,6.33,6.37
8/19/1938,6.4,6.53,6.39,6.49
8/20/1938,6.48,6.5,6.47,6.48
8/22/1938,6.48,6.49,6.43,6.46
8/23/1938,6.48,6.62,6.48,6.61
8/24/1938,6.6,6.68,6.58,6.59
8/25/1938,6.62,6.66,6.58,6.64
8/26/1938,6.63,6.66,6.57,6.58
8/27/1938,6.53,6.53,6.48,6.51
8/29/1938,6.35,6.35,6.22,6.24
8/30/1938,6.29,6.36,6.29,6.34
8/31/1938,6.3,6.37,6.3,6.35
9/1/1938,6.32,6.32,6.24,6.27
9/2/1938,6.32,6.46,6.32,6.45
9/3/1938,6.47,6.51,6.47,6.5
9/6/1938,6.48,6.49,6.41,6.43
9/7/1938,6.46,6.54,6.44,6.53
9/8/1938,6.5,6.5,6.44,6.46
9/9/1938,6.39,6.39,6.29,6.32
9/10/1938,6.31,6.31,6.23,6.25
9/12/1938,6.26,6.36,6.25,6.34
9/13/1938,6.25,6.33,5.96,5.98
9/14/1938,6,6.12,5.83,5.94
9/15/1938,6.06,6.17,6.06,6.14
9/16/1938,6.04,6.04,5.97,6.01
9/17/1938,5.97,5.97,5.84,5.88
9/19/1938,6.02,6.09,6.02,6.04
9/20/1938,6.19,6.3,6.19,6.25
9/21/1938,6.24,6.33,6.21,6.29
9/22/1938,6.21,6.21,6.15,6.17
9/23/1938,6.06,6.06,5.95,5.97
9/24/1938,6.02,6.02,5.85,5.97
9/26/1938,5.87,5.87,5.7,5.79
9/27/1938,5.76,5.87,5.74,5.77
9/28/1938,5.88,6.07,5.77,6.03
9/29/1938,6.13,6.27,6.13,6.25
9/30/1938,6.34,6.46,6.34,6.43
10/1/1938,6.47,6.55,6.47,6.54
10/3/1938,6.52,6.62,6.5,6.58
10/4/1938,6.56,6.58,6.51,6.55
10/5/1938,6.58,6.76,6.58,6.75
10/6/1938,6.74,6.84,6.71,6.73
10/7/1938,6.73,6.79,6.69,6.75
10/8/1938,6.77,6.84,6.77,6.82
10/10/1938,6.79,6.82,6.73,6.78
10/11/1938,6.75,6.79,6.69,6.74
10/13/1938,6.84,6.96,6.84,6.95
10/14/1938,6.95,6.98,6.84,6.9
10/15/1938,6.94,6.99,6.93,6.96
10/17/1938,6.91,6.97,6.84,6.86
10/18/1938,6.89,6.97,6.79,6.95
10/19/1938,6.92,6.96,6.8,6.82
