Date,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
3/1/1914,22.95,22.95,22.95,22.95
6/1/1914,22.95,22.95,22.95,22.95
9/1/1914,22.95,22.95,21.12,21.12
12/1/1914,21.12,21.12,21.12,21.12
3/1/1915,21.12,22.08,21.12,22.08
6/1/1915,22.08,22.08,22.08,22.08
9/1/1915,22.08,32.1,22.08,32.1
12/1/1915,32.1,32.1,32.1,32.1
3/1/1916,32.1,33.26,32.1,33.26
6/1/1916,33.26,33.26,32.72,32.72
9/1/1916,32.72,49.01,32.72,49.01
12/1/1916,49.01,49.01,41.61,41.61
3/1/1917,41.61,41.61,41.25,41.25
6/1/1917,41.25,41.25,40.2,40.2
9/1/1917,40.2,51.93,40.2,51.93
12/1/1917,51.93,51.93,41.4,41.4
3/1/1918,41.4,43.75,41.4,43.75
6/1/1918,43.75,44.1,43.75,44.1
9/1/1918,44.1,44.1,40.84,40.84
12/1/1918,40.84,42.21,40.84,42.21
3/1/1919,42.21,42.21,40.9,40.9
6/1/1919,40.9,40.9,39.89,39.89
9/1/1919,39.89,56.09,39.89,56.09
12/1/1919,56.09,56.09,53.63,53.63
3/1/1920,53.63,57.58,53.63,57.58
6/1/1920,57.58,57.58,57.58,57.58
9/1/1920,57.58,57.58,25.96,25.96
12/1/1920,25.96,27.44,25.96,27.44
3/1/1921,27.44,28.98,27.44,28.98
6/1/1921,28.98,31.77,28.98,31.77
9/1/1921,31.77,31.77,28.88,28.88
12/1/1921,28.88,28.88,28.88,28.88
3/1/1922,28.88,30.3,28.88,30.3
6/1/1922,30.3,30.3,30.3,30.3
9/1/1922,30.3,30.3,23.22,23.22
12/1/1922,23.22,23.97,23.22,23.97
3/1/1923,23.97,25.96,23.97,25.96
6/1/1923,25.96,27.36,25.96,27.36
9/1/1923,27.36,27.36,22.83,22.83
12/1/1923,22.83,22.83,22.83,22.83
3/1/1924,22.83,24.08,22.83,24.08
6/1/1924,24.08,24.08,21.22,21.22
9/1/1924,21.22,24.45,21.22,24.45
12/1/1924,24.45,24.45,24.45,24.45
3/1/1925,24.45,25.11,24.45,25.11
6/1/1925,25.11,25.11,24.54,24.54
