Date,Open,High,Low,Close
12/19/1990,99.98,99.98,99.98,99.98
12/20/1990,104.39,104.39,104.39,104.39
12/21/1990,109.13,109.13,109.13,109.13
12/24/1990,114.55,114.55,114.55,114.55
12/25/1990,120.25,120.25,120.25,120.25
12/26/1990,125.27,125.27,125.27,125.27
12/27/1990,125.28,125.28,125.28,125.28
12/28/1990,126.45,126.45,126.45,126.45
12/31/1990,127.61,127.61,127.61,127.61
1/2/1991,128.84,128.84,128.84,128.84
1/3/1991,130.14,130.14,130.14,130.14
1/4/1991,131.44,131.44,131.44,131.44
1/7/1991,132.06,132.06,132.06,132.06
1/8/1991,132.68,132.68,132.68,132.68
1/9/1991,133.34,133.34,133.34,133.34
1/10/1991,133.97,133.97,133.97,133.97
1/11/1991,134.6,134.6,134.6,134.6
1/14/1991,134.67,134.67,134.67,134.67
1/15/1991,134.74,134.74,134.74,134.74
1/16/1991,134.24,134.24,134.24,134.24
1/17/1991,134.25,134.25,134.25,134.25
1/18/1991,134.24,134.24,134.24,134.24
1/22/1991,133.72,133.72,133.72,133.72
1/23/1991,133.17,133.17,133.17,133.17
1/24/1991,132.61,132.61,132.61,132.61
1/25/1991,132.05,132.05,132.05,132.05
1/28/1991,131.46,131.46,131.46,131.46
1/29/1991,130.95,130.95,130.95,130.95
1/30/1991,130.44,130.44,130.44,130.44
1/31/1991,129.97,129.97,129.97,129.97
2/1/1991,129.51,129.51,129.51,129.51
2/4/1991,129.05,129.05,129.05,129.05
2/5/1991,128.58,128.58,128.58,128.58
2/6/1991,129.14,129.14,129.14,129.14
2/7/1991,129.79,129.79,129.79,129.79
2/8/1991,130.38,130.38,130.38,130.38
2/11/1991,130.97,130.97,130.97,130.97
2/12/1991,131.35,131.35,131.35,131.35
2/13/1991,131.92,131.92,131.92,131.92
2/14/1991,132.53,132.53,132.53,132.53
2/19/1991,133.13,133.13,133.13,133.13
2/20/1991,133.67,133.67,133.67,133.67
2/21/1991,134.28,134.28,134.28,134.28
2/22/1991,134.87,134.87,134.87,134.87
2/25/1991,134.4,134.4,134.4,134.4
2/26/1991,133.93,133.93,133.93,133.93
2/27/1991,133.47,133.47,133.47,133.47
2/28/1991,133.01,133.01,133.01,133.01
3/1/1991,132.53,132.53,132.53,132.53
3/4/1991,131.99,131.99,131.99,131.99
3/5/1991,131.46,131.46,131.46,131.46
3/6/1991,130.94,130.94,130.94,130.94
3/7/1991,130.41,130.41,130.41,130.41
3/8/1991,129.89,129.89,129.89,129.89
3/11/1991,129.31,129.31,129.31,129.31
3/12/1991,128.77,128.77,128.77,128.77
3/13/1991,126.15,126.15,126.15,126.15
3/14/1991,125.63,125.63,125.63,125.63
3/15/1991,125.17,125.17,125.17,125.17
3/18/1991,124.71,124.71,124.71,124.71
3/19/1991,124.22,124.22,124.22,124.22
3/20/1991,123.66,123.66,123.66,123.66
3/21/1991,123.12,123.12,123.12,123.12
3/22/1991,122.62,122.62,122.62,122.62
3/25/1991,122.12,122.12,122.12,122.12
3/26/1991,121.62,121.62,121.62,121.62
3/27/1991,121.12,121.12,121.12,121.12
3/28/1991,120.61,120.61,120.61,120.61
3/29/1991,120.19,120.19,120.19,120.19
4/1/1991,120.73,120.73,120.73,120.73
4/2/1991,121.21,121.21,121.21,121.21
4/3/1991,121.71,121.71,121.71,121.71
4/4/1991,121.72,121.72,121.72,121.72
4/5/1991,121.54,121.54,121.54,121.54
4/8/1991,121.09,121.09,121.09,121.09
4/9/1991,120.62,120.62,120.62,120.62
4/10/1991,120.16,120.16,120.16,120.16
4/11/1991,119.64,119.64,119.64,119.64
4/12/1991,119.21,119.21,119.21,119.21
4/15/1991,118.77,118.77,118.77,118.77
4/16/1991,118.34,118.34,118.34,118.34
4/17/1991,117.9,117.9,117.9,117.9
4/18/1991,117.45,117.45,117.45,117.45
4/19/1991,117.08,117.08,117.08,117.08
4/22/1991,116.63,116.63,116.63,116.63
4/23/1991,116.19,116.19,116.19,116.19
4/24/1991,115.79,115.79,115.79,115.79
4/25/1991,115.36,115.36,115.36,115.36
4/26/1991,115.56,115.56,115.56,115.56
4/29/1991,114.75,114.75,114.75,114.75
4/30/1991,113.94,113.94,113.94,113.94
5/2/1991,113.16,113.16,113.16,113.16
5/3/1991,112.41,112.41,112.41,112.41
5/6/1991,111.61,111.61,111.61,111.61
5/7/1991,110.82,110.82,110.82,110.82
5/8/1991,110.03,110.03,110.03,110.03
5/9/1991,109.29,109.29,109.29,109.29
5/10/1991,108.53,108.53,108.53,108.53
5/13/1991,107.84,107.84,107.84,107.84
5/14/1991,107.19,107.19,107.19,107.19
5/15/1991,106.57,106.57,106.57,106.57
5/16/1991,105.77,105.77,105.77,105.77
5/17/1991,106.75,106.75,106.75,106.75
5/20/1991,107.82,107.82,107.82,107.82
5/21/1991,108.81,108.81,108.81,108.81
5/22/1991,108.25,108.25,108.25,108.25
5/23/1991,109.08,109.08,109.08,109.08
5/24/1991,110.08,110.08,110.08,110.08
5/27/1991,110.66,110.66,110.66,110.66
5/28/1991,111.68,111.68,111.68,111.68
5/29/1991,112.75,112.75,112.75,112.75
5/30/1991,113.82,113.82,113.82,113.82
5/31/1991,114.83,114.83,114.83,114.83
6/3/1991,115.97,115.97,115.97,115.97
6/4/1991,117.12,117.12,117.12,117.12
6/5/1991,118.17,118.17,118.17,118.17
6/6/1991,119.35,119.35,119.35,119.35
6/7/1991,120.47,120.47,120.47,120.47
6/10/1991,121.67,121.67,121.67,121.67
6/11/1991,122.89,122.89,122.89,122.89
6/12/1991,124.11,124.11,124.11,124.11
6/13/1991,125.34,125.34,125.34,125.34
6/14/1991,124.53,124.53,124.53,124.53
6/17/1991,125.77,125.77,125.77,125.77
6/18/1991,127.03,127.03,127.03,127.03
6/19/1991,128.29,128.29,128.29,128.29
6/20/1991,129.57,129.57,129.57,129.57
6/21/1991,130.86,130.86,130.86,130.86
6/24/1991,132.17,132.17,132.17,132.17
6/25/1991,133.49,133.49,133.49,133.49
6/26/1991,134.83,134.83,134.83,134.83
6/27/1991,136.19,136.19,136.19,136.19
6/28/1991,137.56,137.56,137.56,137.56
7/1/1991,136.85,136.85,136.85,136.85
7/2/1991,135.96,135.96,135.96,135.96
7/3/1991,135.27,135.27,135.27,135.27
7/4/1991,136.63,136.63,136.63,136.63
7/5/1991,135.96,135.96,135.96,135.96
7/8/1991,135.28,135.28,135.28,135.28
7/9/1991,134.64,134.64,134.64,134.64
7/10/1991,133.99,133.99,133.99,133.99
7/11/1991,133.38,133.38,133.38,133.38
7/12/1991,132.8,132.8,132.8,132.8
7/15/1991,133.14,133.14,133.14,133.14
7/16/1991,134.47,134.47,134.47,134.47
7/17/1991,135.81,135.81,135.81,135.81
7/18/1991,137.17,137.17,137.17,137.17
7/19/1991,136.7,136.7,136.7,136.7
7/22/1991,138.07,138.07,138.07,138.07
7/23/1991,139.39,139.39,139.39,139.39
7/24/1991,140.68,140.68,140.68,140.68
7/25/1991,140.19,140.19,140.19,140.19
7/26/1991,140.66,140.66,140.66,140.66
7/29/1991,141.52,141.52,141.52,141.52
7/30/1991,142.39,142.39,142.39,142.39
7/31/1991,143.8,143.8,143.8,143.8
8/1/1991,145.24,145.24,145.24,145.24
8/2/1991,146.68,146.68,146.68,146.68
8/5/1991,148.15,148.15,148.15,148.15
8/6/1991,149.62,149.62,149.62,149.62
8/7/1991,151.12,151.12,151.12,151.12
8/8/1991,152.61,152.61,152.61,152.61
8/9/1991,154.1,154.1,154.1,154.1
8/12/1991,155.54,155.54,155.54,155.54
8/13/1991,157.07,157.07,157.07,157.07
8/14/1991,158.63,158.63,158.63,158.63
8/15/1991,160.21,160.21,160.21,160.21
8/16/1991,161.6,161.6,161.6,161.6
8/19/1991,163.21,163.21,163.21,163.21
8/20/1991,164.84,164.84,164.84,164.84
8/21/1991,166.49,166.49,166.49,166.49
8/22/1991,168.16,168.16,168.16,168.16
8/23/1991,169.81,169.81,169.81,169.81
8/26/1991,171.51,171.51,171.51,171.51
8/27/1991,173.19,173.19,173.19,173.19
8/28/1991,174.92,174.92,174.92,174.92
8/29/1991,176.66,176.66,176.66,176.66
8/30/1991,178.43,178.43,178.43,178.43
9/2/1991,180.22,180.22,180.22,180.22
9/3/1991,181.97,181.97,181.97,181.97
9/4/1991,183.69,183.69,183.69,183.69
9/5/1991,185.51,185.51,185.51,185.51
9/6/1991,187.36,187.36,187.36,187.36
9/9/1991,189.24,189.24,189.24,189.24
9/10/1991,188.33,188.33,188.33,188.33
9/11/1991,187.22,187.22,187.22,187.22
9/12/1991,186.22,186.22,186.22,186.22
9/13/1991,187.79,187.79,187.79,187.79
9/16/1991,189.66,189.66,189.66,189.66
9/17/1991,188.65,188.65,188.65,188.65
9/18/1991,187.63,187.63,187.63,187.63
9/19/1991,186.88,186.88,186.88,186.88
9/20/1991,185.92,185.92,185.92,185.92
9/23/1991,185,185,185,185
9/24/1991,184.08,184.08,184.08,184.08
9/25/1991,183.19,183.19,183.19,183.19
9/26/1991,182.33,182.33,182.33,182.33
9/27/1991,181.82,181.82,181.82,181.82
9/30/1991,180.92,180.92,180.92,180.92
10/3/1991,182.48,182.48,182.48,182.48
10/4/1991,184.29,184.29,184.29,184.29
