Date,Open,High,Low,Close
1/3/1989,13,13,13,13
1/4/1989,13.016,13.016,13.016,13.016
1/5/1989,13.109,13.109,13.109,13.109
1/6/1989,13.063,13.063,13.063,13.063
1/9/1989,13.063,13.063,13.063,13.063
1/10/1989,13.125,13.125,13.125,13.125
1/11/1989,13.125,13.125,13.125,13.125
1/12/1989,13.125,13.125,13.125,13.125
1/13/1989,13.125,13.125,13.125,13.125
1/16/1989,13.125,13.125,13.125,13.125
1/17/1989,13.125,13.125,13.125,13.125
1/18/1989,13.125,13.125,13.125,13.125
1/19/1989,13.125,13.125,13.125,13.125
1/20/1989,13.125,13.125,13.125,13.125
1/23/1989,13.125,13.125,13.125,13.125
1/24/1989,13.125,13.125,13.125,13.125
1/25/1989,13.125,13.125,13.125,13.125
1/26/1989,13.125,13.125,13.125,13.125
1/27/1989,13.125,13.125,13.125,13.125
1/30/1989,13.125,13.125,13.125,13.125
1/31/1989,13.125,13.125,13.125,13.125
2/1/1989,13.063,13.063,13.063,13.063
2/2/1989,13,13,13,13
2/3/1989,13,13,13,13
2/6/1989,13.063,13.063,13.063,13.063
2/7/1989,13.063,13.063,13.063,13.063
2/8/1989,13.125,13.125,13.125,13.125
2/9/1989,13.063,13.063,13.063,13.063
2/10/1989,13.063,13.063,13.063,13.063
2/13/1989,13,13,13,13
2/14/1989,13,13,13,13
2/15/1989,13.047,13.047,13.047,13.047
2/16/1989,13.063,13.063,13.063,13.063
2/17/1989,13,13,13,13
2/20/1989,12.938,12.938,12.938,12.938
2/21/1989,12.938,12.938,12.938,12.938
2/22/1989,12.938,12.938,12.938,12.938
2/23/1989,12.938,12.938,12.938,12.938
2/24/1989,12.813,12.813,12.813,12.813
2/27/1989,12.875,12.875,12.875,12.875
2/28/1989,13.25,13.25,13.25,13.25
3/1/1989,13.188,13.188,13.188,13.188
3/2/1989,13.125,13.125,13.125,13.125
3/3/1989,13,13,13,13
3/6/1989,13,13,13,13
3/7/1989,13,13,13,13
3/8/1989,12.938,12.938,12.938,12.938
3/9/1989,12.969,12.969,12.969,12.969
3/10/1989,12.969,12.969,12.969,12.969
3/13/1989,13,13,13,13
3/14/1989,12.922,12.922,12.922,12.922
3/15/1989,13,13,13,13
3/16/1989,12.953,12.953,12.953,12.953
3/17/1989,13.063,13.063,13.063,13.063
3/20/1989,12.938,12.938,12.938,12.938
3/21/1989,12.938,12.938,12.938,12.938
3/22/1989,13,13,13,13
3/23/1989,12.938,12.938,12.938,12.938
3/28/1989,12.875,12.875,12.875,12.875
3/29/1989,12.875,12.875,12.875,12.875
3/30/1989,12.891,12.891,12.891,12.891
3/31/1989,12.938,12.938,12.938,12.938
4/3/1989,12.875,12.875,12.875,12.875
4/4/1989,12.844,12.844,12.844,12.844
4/5/1989,12.813,12.813,12.813,12.813
4/6/1989,12.781,12.781,12.781,12.781
4/7/1989,12.75,12.75,12.75,12.75
4/10/1989,12.75,12.75,12.75,12.75
4/11/1989,12.625,12.625,12.625,12.625
4/12/1989,12.625,12.625,12.625,12.625
4/13/1989,12.688,12.688,12.688,12.688
4/14/1989,12.875,12.875,12.875,12.875
4/17/1989,12.75,12.75,12.75,12.75
4/18/1989,12.625,12.625,12.625,12.625
4/19/1989,12.688,12.688,12.688,12.688
4/20/1989,12.75,12.75,12.75,12.75
4/21/1989,12.925,12.925,12.925,12.925
4/24/1989,12.875,12.875,12.875,12.875
4/25/1989,12.875,12.875,12.875,12.875
4/26/1989,12.875,12.875,12.875,12.875
4/27/1989,12.75,12.75,12.75,12.75
4/28/1989,12.75,12.75,12.75,12.75
5/2/1989,12.594,12.594,12.594,12.594
5/3/1989,12.563,12.563,12.563,12.563
5/4/1989,12.688,12.688,12.688,12.688
5/5/1989,12.688,12.688,12.688,12.688
5/8/1989,12.531,12.531,12.531,12.531
5/9/1989,12.578,12.578,12.578,12.578
5/10/1989,12.75,12.75,12.75,12.75
5/11/1989,12.75,12.75,12.75,12.75
5/12/1989,12.625,12.625,12.625,12.625
5/15/1989,12.625,12.625,12.625,12.625
5/16/1989,12.563,12.563,12.563,12.563
5/17/1989,12.625,12.625,12.625,12.625
5/18/1989,12.625,12.625,12.625,12.625
5/19/1989,12.625,12.625,12.625,12.625
5/22/1989,12.703,12.703,12.703,12.703
5/23/1989,12.875,12.875,12.875,12.875
5/24/1989,13.875,13.875,13.875,13.875
5/25/1989,13.875,13.875,13.875,13.875
5/26/1989,13.75,13.75,13.75,13.75
5/30/1989,13.75,13.75,13.75,13.75
5/31/1989,14.25,14.25,14.25,14.25
6/1/1989,14.125,14.125,14.125,14.125
6/2/1989,13.875,13.875,13.875,13.875
6/5/1989,13.813,13.813,13.813,13.813
6/6/1989,13.875,13.875,13.875,13.875
6/7/1989,13.813,13.813,13.813,13.813
6/8/1989,13.813,13.813,13.813,13.813
6/9/1989,13.813,13.813,13.813,13.813
6/12/1989,13.75,13.75,13.75,13.75
6/13/1989,14.281,14.281,14.281,14.281
6/14/1989,14.125,14.125,14.125,14.125
6/15/1989,14.313,14.313,14.313,14.313
6/16/1989,13.984,13.984,13.984,13.984
6/19/1989,13.938,13.938,13.938,13.938
6/20/1989,13.813,13.813,13.813,13.813
6/21/1989,13.766,13.766,13.766,13.766
6/22/1989,13.766,13.766,13.766,13.766
6/23/1989,13.813,13.813,13.813,13.813
6/26/1989,13.938,13.938,13.938,13.938
6/27/1989,14,14,14,14
6/28/1989,13.75,13.75,13.75,13.75
6/29/1989,13.875,13.875,13.875,13.875
6/30/1989,14,14,14,14
7/3/1989,13.97,13.97,13.97,13.97
7/4/1989,13.938,13.938,13.938,13.938
7/5/1989,13.906,13.906,13.906,13.906
7/6/1989,13.938,13.938,13.938,13.938
7/7/1989,13.875,13.875,13.875,13.875
7/10/1989,13.875,13.875,13.875,13.875
7/11/1989,13.938,13.938,13.938,13.938
7/12/1989,13.938,13.938,13.938,13.938
7/13/1989,13.922,13.922,13.922,13.922
7/14/1989,13.906,13.906,13.906,13.906
7/17/1989,14,14,14,14
7/18/1989,14,14,14,14
7/19/1989,14.063,14.063,14.063,14.063
7/20/1989,14.125,14.125,14.125,14.125
7/21/1989,14,14,14,14
7/24/1989,14.016,14.016,14.016,14.016
7/25/1989,14,14,14,14
7/26/1989,14,14,14,14
7/27/1989,13.875,13.875,13.875,13.875
7/28/1989,13.875,13.875,13.875,13.875
7/31/1989,13.938,13.938,13.938,13.938
8/1/1989,13.813,13.813,13.813,13.813
8/2/1989,13.813,13.813,13.813,13.813
8/3/1989,13.813,13.813,13.813,13.813
8/4/1989,13.875,13.875,13.875,13.875
8/7/1989,13.938,13.938,13.938,13.938
8/8/1989,13.875,13.875,13.875,13.875
8/9/1989,13.813,13.813,13.813,13.813
8/10/1989,13.813,13.813,13.813,13.813
8/11/1989,13.875,13.875,13.875,13.875
8/14/1989,13.813,13.813,13.813,13.813
8/15/1989,13.813,13.813,13.813,13.813
8/16/1989,13.813,13.813,13.813,13.813
8/17/1989,13.813,13.813,13.813,13.813
8/18/1989,13.844,13.844,13.844,13.844
8/21/1989,13.875,13.875,13.875,13.875
8/22/1989,13.938,13.938,13.938,13.938
8/23/1989,13.938,13.938,13.938,13.938
8/24/1989,14,14,14,14
8/25/1989,13.969,13.969,13.969,13.969
8/28/1989,14,14,14,14
8/29/1989,14,14,14,14
8/30/1989,14,14,14,14
8/31/1989,14,14,14,14
9/1/1989,14,14,14,14
9/4/1989,14.063,14.063,14.063,14.063
9/5/1989,14.063,14.063,14.063,14.063
9/6/1989,14.063,14.063,14.063,14.063
9/7/1989,14.063,14.063,14.063,14.063
9/8/1989,14,14,14,14
9/11/1989,13.938,13.938,13.938,13.938
9/12/1989,13.938,13.938,13.938,13.938
9/13/1989,13.938,13.938,13.938,13.938
9/14/1989,13.938,13.938,13.938,13.938
9/15/1989,13.938,13.938,13.938,13.938
9/18/1989,13.938,13.938,13.938,13.938
9/19/1989,13.938,13.938,13.938,13.938
9/20/1989,13.938,13.938,13.938,13.938
9/21/1989,13.938,13.938,13.938,13.938
9/22/1989,13.938,13.938,13.938,13.938
9/25/1989,14,14,14,14
9/26/1989,14,14,14,14
9/27/1989,14.063,14.063,14.063,14.063
9/28/1989,14.125,14.125,14.125,14.125
