Date,Open,High,Low,Close
1/2/1998,7.375,7.375,7.375,7.375
1/5/1998,7.3125,7.3125,7.3125,7.3125
1/6/1998,7.3125,7.3125,7.3125,7.3125
1/7/1998,7.2891,7.2891,7.2891,7.2891
1/8/1998,7.2891,7.2891,7.2891,7.2891
1/9/1998,7.3125,7.3125,7.3125,7.3125
1/12/1998,7.25,7.25,7.25,7.25
1/13/1998,7.25,7.25,7.25,7.25
1/14/1998,7.25,7.25,7.25,7.25
1/15/1998,7.3125,7.3125,7.3125,7.3125
1/16/1998,7.25,7.25,7.25,7.25
1/19/1998,7.25,7.25,7.25,7.25
1/20/1998,7.3125,7.3125,7.3125,7.3125
1/21/1998,7.2734,7.2734,7.2734,7.2734
1/22/1998,7.3125,7.3125,7.3125,7.3125
1/23/1998,7.375,7.375,7.375,7.375
1/26/1998,7.375,7.375,7.375,7.375
1/27/1998,7.5,7.5,7.5,7.5
1/28/1998,7.3516,7.3516,7.3516,7.3516
1/29/1998,7.4375,7.4375,7.4375,7.4375
1/30/1998,7.3594,7.3594,7.3594,7.3594
2/2/1998,7.4141,7.4141,7.4141,7.4141
2/3/1998,7.3438,7.3438,7.3438,7.3438
2/4/1998,7.3438,7.3438,7.3438,7.3438
2/5/1998,7.4609,7.4609,7.4609,7.4609
2/6/1998,7.5938,7.5938,7.5938,7.5938
2/9/1998,7.5469,7.5469,7.5469,7.5469
2/10/1998,7.4453,7.4453,7.4453,7.4453
2/11/1998,7.5625,7.5625,7.5625,7.5625
2/12/1998,7.5625,7.5625,7.5625,7.5625
2/13/1998,7.5,7.5,7.5,7.5
2/16/1998,7.4375,7.4375,7.4375,7.4375
2/17/1998,7.4375,7.4375,7.4375,7.4375
2/18/1998,7.4453,7.4453,7.4453,7.4453
2/19/1998,7.3516,7.3516,7.3516,7.3516
2/20/1998,7.375,7.375,7.375,7.375
2/23/1998,7.3359,7.3359,7.3359,7.3359
2/24/1998,7.3828,7.3828,7.3828,7.3828
2/25/1998,7.3359,7.3359,7.3359,7.3359
2/26/1998,7.3359,7.3359,7.3359,7.3359
2/27/1998,7.3906,7.3906,7.3906,7.3906
3/2/1998,7.3516,7.3516,7.3516,7.3516
3/3/1998,7.3203,7.3203,7.3203,7.3203
3/4/1998,7.375,7.375,7.375,7.375
3/5/1998,7.5,7.5,7.5,7.5
3/6/1998,7.5625,7.5625,7.5625,7.5625
3/9/1998,7.5,7.5,7.5,7.5
3/10/1998,7.375,7.375,7.375,7.375
3/11/1998,7.5,7.5,7.5,7.5
3/12/1998,7.4375,7.4375,7.4375,7.4375
3/13/1998,7.4375,7.4375,7.4375,7.4375
3/16/1998,7.4375,7.4375,7.4375,7.4375
3/17/1998,7.4375,7.4375,7.4375,7.4375
3/18/1998,7.375,7.375,7.375,7.375
3/19/1998,7.375,7.375,7.375,7.375
3/20/1998,7.3906,7.3906,7.3906,7.3906
3/23/1998,7.375,7.375,7.375,7.375
3/24/1998,7.375,7.375,7.375,7.375
3/25/1998,7.4375,7.4375,7.4375,7.4375
3/26/1998,7.625,7.625,7.625,7.625
3/27/1998,7.5,7.5,7.5,7.5
3/30/1998,7.4375,7.4375,7.4375,7.4375
3/31/1998,7.5,7.5,7.5,7.5
4/1/1998,7.4141,7.4141,7.4141,7.4141
4/2/1998,7.4063,7.4063,7.4063,7.4063
4/3/1998,7.4453,7.4453,7.4453,7.4453
4/6/1998,7.3125,7.3125,7.3125,7.3125
4/7/1998,7.4141,7.4141,7.4141,7.4141
4/8/1998,7.3438,7.3438,7.3438,7.3438
4/9/1998,7.1875,7.1875,7.1875,7.1875
4/14/1998,7.3125,7.3125,7.3125,7.3125
4/15/1998,7.25,7.25,7.25,7.25
4/16/1998,7.3125,7.3125,7.3125,7.3125
4/17/1998,7.125,7.125,7.125,7.125
4/20/1998,7.25,7.25,7.25,7.25
4/21/1998,7.3125,7.3125,7.3125,7.3125
4/22/1998,7.3281,7.3281,7.3281,7.3281
4/23/1998,7.375,7.375,7.375,7.375
4/24/1998,7.2422,7.2422,7.2422,7.2422
4/27/1998,7.3125,7.3125,7.3125,7.3125
4/28/1998,7.3047,7.3047,7.3047,7.3047
4/29/1998,7.3125,7.3125,7.3125,7.3125
4/30/1998,7.3516,7.3516,7.3516,7.3516
5/1/1998,7.1328,7.1328,7.1328,7.1328
5/5/1998,7.2578,7.2578,7.2578,7.2578
5/6/1998,7.375,7.375,7.375,7.375
5/7/1998,7.3047,7.3047,7.3047,7.3047
5/8/1998,7.3125,7.3125,7.3125,7.3125
5/11/1998,7.3516,7.3516,7.3516,7.3516
5/12/1998,7.3125,7.3125,7.3125,7.3125
5/13/1998,7.3125,7.3125,7.3125,7.3125
5/14/1998,7.3125,7.3125,7.3125,7.3125
5/15/1998,7.375,7.375,7.375,7.375
5/18/1998,7.375,7.375,7.375,7.375
5/19/1998,7.3906,7.3906,7.3906,7.3906
5/20/1998,7.4063,7.4063,7.4063,7.4063
5/21/1998,7.4375,7.4375,7.4375,7.4375
5/22/1998,7.1484,7.1484,7.1484,7.1484
5/26/1998,7.3125,7.3125,7.3125,7.3125
5/27/1998,7.3047,7.3047,7.3047,7.3047
5/28/1998,7.3125,7.3125,7.3125,7.3125
5/29/1998,7.375,7.375,7.375,7.375
6/1/1998,7.2891,7.2891,7.2891,7.2891
6/2/1998,7.3203,7.3203,7.3203,7.3203
6/3/1998,7.25,7.25,7.25,7.25
