Date,Open,High,Low,Close
12/1/1997,5.69531,5.69531,5.69531,5.69531
12/2/1997,5.6875,5.6875,5.6875,5.6875
12/3/1997,5.6875,5.6875,5.6875,5.6875
12/4/1997,5.67578,5.67578,5.67578,5.67578
12/5/1997,5.65234,5.65234,5.65234,5.65234
12/8/1997,5.625,5.625,5.625,5.625
12/9/1997,5.625,5.625,5.625,5.625
12/10/1997,5.625,5.625,5.625,5.625
12/11/1997,5.625,5.625,5.625,5.625
12/12/1997,5.625,5.625,5.625,5.625
12/15/1997,5.625,5.625,5.625,5.625
12/16/1997,5.625,5.625,5.625,5.625
12/17/1997,5.625,5.625,5.625,5.625
12/18/1997,5.625,5.625,5.625,5.625
12/19/1997,5.625,5.625,5.625,5.625
12/22/1997,5.625,5.625,5.625,5.625
12/23/1997,6.75,6.75,6.75,6.75
12/24/1997,6.75,6.75,6.75,6.75
12/26/1997,6.75,6.75,6.75,6.75
12/29/1997,6.25,6.25,6.25,6.25
12/30/1997,5.75,5.75,5.75,5.75
12/31/1997,5.73828,5.73828,5.73828,5.73828
1/2/1998,5.6875,5.6875,5.6875,5.6875
1/5/1998,5.6875,5.6875,5.6875,5.6875
1/6/1998,5.63672,5.63672,5.63672,5.63672
1/7/1998,5.59375,5.59375,5.59375,5.59375
1/8/1998,5.58984,5.58984,5.58984,5.58984
1/9/1998,5.57031,5.57031,5.57031,5.57031
1/12/1998,5.58594,5.58594,5.58594,5.58594
1/13/1998,5.59375,5.59375,5.59375,5.59375
1/14/1998,5.59375,5.59375,5.59375,5.59375
1/15/1998,5.5625,5.5625,5.5625,5.5625
1/16/1998,5.56641,5.56641,5.56641,5.56641
1/19/1998,5.57813,5.57813,5.57813,5.57813
1/20/1998,5.58203,5.58203,5.58203,5.58203
1/21/1998,5.5625,5.5625,5.5625,5.5625
1/22/1998,5.57813,5.57813,5.57813,5.57813
1/23/1998,5.57813,5.57813,5.57813,5.57813
1/26/1998,5.625,5.625,5.625,5.625
1/27/1998,5.625,5.625,5.625,5.625
1/28/1998,5.625,5.625,5.625,5.625
1/29/1998,5.625,5.625,5.625,5.625
1/30/1998,5.59766,5.59766,5.59766,5.59766
2/2/1998,5.61328,5.61328,5.61328,5.61328
2/3/1998,5.62109,5.62109,5.62109,5.62109
2/4/1998,5.60156,5.60156,5.60156,5.60156
2/5/1998,5.58984,5.58984,5.58984,5.58984
2/6/1998,5.58984,5.58984,5.58984,5.58984
2/9/1998,5.59375,5.59375,5.59375,5.59375
2/10/1998,5.58594,5.58594,5.58594,5.58594
2/11/1998,5.57422,5.57422,5.57422,5.57422
2/12/1998,5.58203,5.58203,5.58203,5.58203
2/13/1998,5.61328,5.61328,5.61328,5.61328
2/16/1998,5.60938,5.60938,5.60938,5.60938
2/17/1998,5.60547,5.60547,5.60547,5.60547
2/18/1998,5.57031,5.57031,5.57031,5.57031
2/19/1998,5.60938,5.60938,5.60938,5.60938
2/20/1998,5.625,5.625,5.625,5.625
2/23/1998,5.63281,5.63281,5.63281,5.63281
2/24/1998,5.67188,5.67188,5.67188,5.67188
2/25/1998,5.65625,5.65625,5.65625,5.65625
2/26/1998,5.64063,5.64063,5.64063,5.64063
2/27/1998,5.64063,5.64063,5.64063,5.64063
3/2/1998,5.62891,5.62891,5.62891,5.62891
3/3/1998,5.625,5.625,5.625,5.625
3/4/1998,5.625,5.625,5.625,5.625
3/5/1998,5.625,5.625,5.625,5.625
3/6/1998,5.625,5.625,5.625,5.625
3/9/1998,5.625,5.625,5.625,5.625
3/10/1998,5.625,5.625,5.625,5.625
3/11/1998,5.61719,5.61719,5.61719,5.61719
3/12/1998,5.59766,5.59766,5.59766,5.59766
3/13/1998,5.60938,5.60938,5.60938,5.60938
3/16/1998,5.59375,5.59375,5.59375,5.59375
3/17/1998,5.59766,5.59766,5.59766,5.59766
3/18/1998,5.59375,5.59375,5.59375,5.59375
3/19/1998,5.59766,5.59766,5.59766,5.59766
3/20/1998,5.59766,5.59766,5.59766,5.59766
3/23/1998,5.6875,5.6875,5.6875,5.6875
3/24/1998,5.6875,5.6875,5.6875,5.6875
3/25/1998,5.6875,5.6875,5.6875,5.6875
3/26/1998,5.69531,5.69531,5.69531,5.69531
3/27/1998,5.73047,5.73047,5.73047,5.73047
3/30/1998,5.65625,5.65625,5.65625,5.65625
3/31/1998,5.65625,5.65625,5.65625,5.65625
4/1/1998,5.64844,5.64844,5.64844,5.64844
4/2/1998,5.64844,5.64844,5.64844,5.64844
4/3/1998,5.625,5.625,5.625,5.625
4/6/1998,5.625,5.625,5.625,5.625
4/7/1998,5.625,5.625,5.625,5.625
4/8/1998,5.625,5.625,5.625,5.625
