Date,Open,High,Low,Close
1/2/1986,8,8,8,8
1/3/1986,8.0625,8.0625,8.0625,8.0625
1/6/1986,8.125,8.125,8.125,8.125
1/7/1986,8.125,8.125,8.125,8.125
1/8/1986,8,8,8,8
1/9/1986,8.1875,8.1875,8.1875,8.1875
1/10/1986,8.25,8.25,8.25,8.25
1/13/1986,8.375,8.375,8.375,8.375
1/14/1986,8.375,8.375,8.375,8.375
1/15/1986,8.25,8.25,8.25,8.25
1/16/1986,8.1875,8.1875,8.1875,8.1875
1/17/1986,8.1875,8.1875,8.1875,8.1875
1/20/1986,8.25,8.25,8.25,8.25
1/21/1986,8.1875,8.1875,8.1875,8.1875
1/22/1986,8.1875,8.1875,8.1875,8.1875
1/23/1986,8.25,8.25,8.25,8.25
1/24/1986,8.1875,8.1875,8.1875,8.1875
1/27/1986,8.125,8.125,8.125,8.125
1/28/1986,8.125,8.125,8.125,8.125
1/29/1986,8.0625,8.0625,8.0625,8.0625
1/30/1986,8.125,8.125,8.125,8.125
1/31/1986,8.125,8.125,8.125,8.125
2/3/1986,8.0625,8.0625,8.0625,8.0625
2/4/1986,8.0625,8.0625,8.0625,8.0625
2/5/1986,8,8,8,8
2/6/1986,8.031,8.031,8.031,8.031
2/7/1986,8.0625,8.0625,8.0625,8.0625
2/10/1986,8.125,8.125,8.125,8.125
2/11/1986,8.125,8.125,8.125,8.125
2/12/1986,8.125,8.125,8.125,8.125
2/13/1986,8.125,8.125,8.125,8.125
2/14/1986,8.0625,8.0625,8.0625,8.0625
2/17/1986,8,8,8,8
2/18/1986,8,8,8,8
2/19/1986,8,8,8,8
2/20/1986,8,8,8,8
2/21/1986,8,8,8,8
2/24/1986,8,8,8,8
2/25/1986,7.969,7.969,7.969,7.969
2/26/1986,8,8,8,8
2/27/1986,7.9375,7.9375,7.9375,7.9375
2/28/1986,7.875,7.875,7.875,7.875
3/3/1986,7.875,7.875,7.875,7.875
3/4/1986,7.75,7.75,7.75,7.75
3/5/1986,7.6875,7.6875,7.6875,7.6875
3/6/1986,7.6875,7.6875,7.6875,7.6875
3/7/1986,7.5625,7.5625,7.5625,7.5625
3/10/1986,7.5625,7.5625,7.5625,7.5625
3/11/1986,7.5,7.5,7.5,7.5
3/12/1986,7.4375,7.4375,7.4375,7.4375
3/13/1986,7.4375,7.4375,7.4375,7.4375
3/14/1986,7.5,7.5,7.5,7.5
3/17/1986,7.5,7.5,7.5,7.5
3/18/1986,7.4688,7.4688,7.4688,7.4688
3/19/1986,7.5,7.5,7.5,7.5
3/20/1986,7.5,7.5,7.5,7.5
3/21/1986,7.5,7.5,7.5,7.5
3/24/1986,7.5,7.5,7.5,7.5
3/25/1986,7.5,7.5,7.5,7.5
3/26/1986,7.5,7.5,7.5,7.5
3/27/1986,7.4375,7.4375,7.4375,7.4375
4/1/1986,7.1875,7.1875,7.1875,7.1875
4/2/1986,7.1875,7.1875,7.1875,7.1875
4/3/1986,7.1875,7.1875,7.1875,7.1875
4/4/1986,7.25,7.25,7.25,7.25
4/7/1986,7.1875,7.1875,7.1875,7.1875
4/8/1986,7.0625,7.0625,7.0625,7.0625
4/9/1986,6.875,6.875,6.875,6.875
4/10/1986,6.875,6.875,6.875,6.875
4/11/1986,6.875,6.875,6.875,6.875
4/14/1986,6.875,6.875,6.875,6.875
4/15/1986,6.8125,6.8125,6.8125,6.8125
4/16/1986,6.7188,6.7188,6.7188,6.7188
4/17/1986,6.5625,6.5625,6.5625,6.5625
4/18/1986,6.625,6.625,6.625,6.625
4/21/1986,6.6875,6.6875,6.6875,6.6875
4/22/1986,6.75,6.75,6.75,6.75
4/23/1986,6.8125,6.8125,6.8125,6.8125
4/24/1986,6.8125,6.8125,6.8125,6.8125
4/25/1986,6.9375,6.9375,6.9375,6.9375
4/28/1986,6.9375,6.9375,6.9375,6.9375
4/29/1986,6.875,6.875,6.875,6.875
4/30/1986,6.875,6.875,6.875,6.875
5/1/1986,6.875,6.875,6.875,6.875
5/2/1986,6.9375,6.9375,6.9375,6.9375
5/6/1986,6.8125,6.8125,6.8125,6.8125
5/7/1986,6.8125,6.8125,6.8125,6.8125
5/8/1986,6.8125,6.8125,6.8125,6.8125
5/9/1986,6.8125,6.8125,6.8125,6.8125
5/12/1986,6.875,6.875,6.875,6.875
5/13/1986,7.0625,7.0625,7.0625,7.0625
5/14/1986,6.9375,6.9375,6.9375,6.9375
5/15/1986,7,7,7,7
5/16/1986,7.125,7.125,7.125,7.125
5/19/1986,7.125,7.125,7.125,7.125
5/20/1986,7.1875,7.1875,7.1875,7.1875
5/21/1986,7.125,7.125,7.125,7.125
5/22/1986,7.0938,7.0938,7.0938,7.0938
5/23/1986,7.0625,7.0625,7.0625,7.0625
