Date,Open,High,Low,Close
6/1/1972,2.149165,2.173495,2.149165,2.15322
6/2/1972,2.15322,2.173495,2.141055,2.149165
6/5/1972,2.149165,2.16944,2.141055,2.149165
6/6/1972,2.149165,2.157275,2.116725,2.124835
6/7/1972,2.124835,2.137,2.112669,2.112669
6/8/1972,2.112669,2.12889,2.096449,2.096449
6/9/1972,2.096449,2.100504,2.043734,2.084284
6/12/1972,2.084284,2.108614,2.068064,2.084284
6/13/1972,2.084284,2.104559,2.084284,2.100504
6/14/1972,2.108614,2.15322,2.108614,2.132945
6/15/1972,2.132945,2.15322,2.12078,2.124835
6/16/1972,2.124835,2.132945,2.100504,2.132945
6/19/1972,2.132945,2.14511,2.112669,2.12078
6/20/1972,2.12078,2.141055,2.12078,2.12889
6/21/1972,2.12889,2.132945,2.108614,2.108614
6/22/1972,2.104559,2.104559,2.076174,2.096449
6/23/1972,2.092394,2.092394,2.072119,2.092394
6/26/1972,2.092394,2.092394,2.076174,2.084284
6/27/1972,2.084284,2.100504,2.084284,2.100504
6/28/1972,2.100504,2.112669,2.092394,2.096449
6/29/1972,2.096449,2.104559,2.088339,2.088339
6/30/1972,2.076174,2.076174,2.051844,2.072119
7/3/1972,2.072119,2.072119,2.051844,2.064009
7/5/1972,2.064009,2.068064,2.031569,2.051844
7/6/1972,2.059954,2.096449,2.059954,2.076174
7/7/1972,2.076174,2.088339,2.051844,2.068064
7/10/1972,2.068064,2.072119,2.043734,2.043734
7/11/1972,2.043734,2.059954,2.031569,2.031569
7/12/1972,2.031569,2.059954,2.015349,2.015349
7/13/1972,2.015349,2.019404,1.991019,2.015349
7/14/1972,2.015349,2.027514,2.007239,2.011294
7/17/1972,2.011294,2.027514,2.003184,2.011294
7/18/1972,2.011294,2.035624,1.978854,2.031569
7/19/1972,2.031569,2.076174,2.027514,2.043734
7/20/1972,2.043734,2.051844,2.015349,2.015349
7/21/1972,2.015349,2.051844,2.015349,2.043734
7/24/1972,2.059954,2.112669,2.059954,2.100504
7/25/1972,2.100504,2.104559,2.084284,2.092394
7/26/1972,2.092394,2.092394,2.080229,2.084284
7/27/1972,2.084284,2.088339,2.076174,2.076174
7/28/1972,2.084284,2.112669,2.084284,2.096449
7/31/1972,2.096449,2.112669,2.088339,2.096449
8/1/1972,2.096449,2.100504,2.076174,2.096449
8/2/1972,2.096449,2.124835,2.096449,2.124835
8/3/1972,2.137,2.181605,2.137,2.16133
8/4/1972,2.16133,2.16944,2.16133,2.16944
8/7/1972,2.16944,2.181605,2.16944,2.173495
8/8/1972,2.173495,2.173495,2.157275,2.165385
8/9/1972,2.165385,2.16944,2.12078,2.132945
8/10/1972,2.132945,2.137,2.12078,2.137
8/11/1972,2.141055,2.157275,2.141055,2.15322
8/14/1972,2.16133,2.17755,2.16133,2.165385
8/15/1972,2.165385,2.16944,2.132945,2.149165
8/16/1972,2.141055,2.141055,2.092394,2.092394
8/17/1972,2.092394,2.12889,2.092394,2.12889
8/18/1972,2.12889,2.137,2.124835,2.12889
8/21/1972,2.12889,2.137,2.112669,2.137
8/22/1972,2.15322,2.17755,2.15322,2.16944
8/23/1972,2.173495,2.258651,2.173495,2.254596
8/24/1972,2.254596,2.254596,2.2181,2.222155
8/25/1972,2.222155,2.22621,2.19377,2.19377
8/28/1972,2.19377,2.214045,2.19377,2.19377
8/29/1972,2.189715,2.189715,2.12889,2.157275
8/30/1972,2.157275,2.157275,2.141055,2.141055
8/31/1972,2.141055,2.18566,2.141055,2.18566
9/1/1972,2.18566,2.20188,2.181605,2.18566
9/5/1972,2.18566,2.19377,2.157275,2.157275
9/6/1972,2.157275,2.157275,2.12889,2.141055
9/7/1972,2.14511,2.16944,2.14511,2.149165
9/8/1972,2.149165,2.16133,2.141055,2.14511
9/11/1972,2.14511,2.14511,2.137,2.141055
9/12/1972,2.141055,2.141055,2.112669,2.116725
9/13/1972,2.116725,2.12889,2.100504,2.12889
9/14/1972,2.12889,2.141055,2.116725,2.124835
9/15/1972,2.124835,2.137,2.12078,2.12889
9/18/1972,2.124835,2.124835,2.112669,2.124835
9/19/1972,2.124835,2.12889,2.112669,2.116725
9/20/1972,2.116725,2.12078,2.088339,2.100504
9/21/1972,2.092394,2.092394,2.047789,2.051844
9/22/1972,2.051844,2.068064,2.043734,2.068064
9/25/1972,2.068064,2.084284,2.059954,2.072119
9/26/1972,2.072119,2.092394,2.068064,2.084284
9/27/1972,2.084284,2.12078,2.084284,2.116725
9/28/1972,2.116725,2.14511,2.100504,2.14511
9/29/1972,2.157275,2.173495,2.157275,2.16133
10/2/1972,2.16133,2.173495,2.157275,2.165385
10/3/1972,2.165385,2.165385,2.12889,2.132945
10/4/1972,2.132945,2.149165,2.12889,2.12889
10/5/1972,2.12889,2.12889,2.108614,2.116725
10/6/1972,2.116725,2.12078,2.080229,2.116725
10/9/1972,2.116725,2.132945,2.112669,2.124835
10/10/1972,2.132945,2.15322,2.132945,2.141055
10/11/1972,2.137,2.137,2.12078,2.137
10/12/1972,2.12889,2.12889,2.12078,2.12078
10/13/1972,2.12078,2.124835,2.076174,2.088339
10/16/1972,2.084284,2.084284,2.068064,2.076174
10/17/1972,2.076174,2.076174,2.059954,2.068064
10/18/1972,2.068064,2.096449,2.068064,2.076174
10/19/1972,2.076174,2.076174,2.059954,2.064009
10/20/1972,2.068064,2.104559,2.068064,2.100504
10/23/1972,2.100504,2.116725,2.100504,2.104559
10/24/1972,2.108614,2.137,2.108614,2.137
10/25/1972,2.132945,2.132945,2.116725,2.124835
10/26/1972,2.124835,2.132945,2.12078,2.12889
10/27/1972,2.12889,2.149165,2.124835,2.149165
10/30/1972,2.149165,2.15322,2.137,2.141055
10/31/1972,2.14511,2.157275,2.14511,2.149165
11/1/1972,2.16133,2.205935,2.16133,2.197825
11/2/1972,2.2181,2.262706,2.2181,2.258651
11/3/1972,2.274871,2.335696,2.274871,2.335696
11/6/1972,2.339751,2.384356,2.339751,2.360026
11/8/1972,2.360026,2.396522,2.347861,2.347861
11/9/1972,2.347861,2.396522,2.319476,2.396522
11/10/1972,2.396522,2.445182,2.396522,2.428962
11/13/1972,2.428962,2.441127,2.404632,2.404632
11/14/1972,2.404632,2.445182,2.384356,2.445182
11/15/1972,2.445182,2.461402,2.424907,2.428962
11/16/1972,2.428962,2.465457,2.404632,2.465457
11/17/1972,2.465457,2.526283,2.465457,2.526283
11/20/1972,2.526283,2.538448,2.506007,2.534393
