Date,Open,High,Low,Close
3/17/1980,0.89375,0.909375,0.89375,0.89375
3/18/1980,0.909375,0.909375,0.909375,0.909375
3/19/1980,0.9,0.9,0.9,0.9
3/20/1980,0.9,0.9,0.9,0.9
3/21/1980,0.9,0.9,0.9,0.9
3/24/1980,0.903125,0.903125,0.903125,0.903125
3/25/1980,0.925,0.934375,0.925,0.925
3/26/1980,0.909375,0.909375,0.903125,0.903125
3/27/1980,0.89375,0.89375,0.8875,0.8875
3/28/1980,0.8875,0.8875,0.86875,0.8875
3/31/1980,0.940625,0.940625,0.940625,0.940625
4/1/1980,0.909375,0.909375,0.9,0.9
4/2/1980,0.8875,0.8875,0.8875,0.8875
4/3/1980,0.878125,0.878125,0.878125,0.878125
4/7/1980,0.903125,0.909375,0.903125,0.909375
4/8/1980,0.909375,0.9125,0.909375,0.9125
4/9/1980,0.909375,0.909375,0.909375,0.909375
4/10/1980,0.93125,0.934375,0.93125,0.934375
4/11/1980,0.94375,0.94375,0.94375,0.94375
4/14/1980,0.95,0.9625,0.95,0.95
4/15/1980,0.95,0.95,0.95,0.95
4/16/1980,0.95,0.95,0.95,0.95
4/17/1980,0.94375,0.94375,0.94375,0.94375
4/18/1980,0.95,0.95625,0.95,0.95625
4/21/1980,0.95625,0.95625,0.95625,0.95625
4/22/1980,0.9625,0.965625,0.9625,0.965625
4/23/1980,0.9625,0.9625,0.9625,0.9625
4/24/1980,0.990625,1.003125,0.990625,1.003125
4/25/1980,1.003125,1.003125,0.996875,1.003125
4/28/1980,1.01875,1.028125,1.01875,1.028125
4/29/1980,1.028125,1.0375,1.028125,1.0375
4/30/1980,1.0375,1.0375,1.03125,1.03125
5/1/1980,1.03125,1.03125,1.03125,1.03125
5/2/1980,1.03125,1.03125,1.03125,1.03125
5/5/1980,1.03125,1.03125,1.03125,1.03125
5/6/1980,1.03125,1.04375,1.03125,1.03125
5/7/1980,1.0375,1.04375,1.0375,1.0375
5/8/1980,1.0375,1.04375,1.0375,1.04375
5/9/1980,1.04375,1.059375,1.03125,1.03125
5/12/1980,1.03125,1.03125,1.03125,1.03125
5/13/1980,1.0375,1.0375,1.0375,1.0375
5/14/1980,1.04375,1.04375,1.04375,1.04375
5/15/1980,1.04375,1.04375,1.04375,1.04375
5/16/1980,1.03125,1.03125,1.0125,1.021875
5/19/1980,1.021875,1.021875,1.021875,1.021875
5/20/1980,1.021875,1.021875,1.021875,1.021875
5/21/1980,1.028125,1.03125,1.028125,1.028125
5/22/1980,1.028125,1.028125,1.028125,1.028125
5/23/1980,1.06875,1.08125,1.06875,1.075
5/27/1980,1.075,1.084375,1.0625,1.084375
5/28/1980,1.075,1.075,1.06875,1.06875
5/29/1980,1.059375,1.059375,1.059375,1.059375
5/30/1980,1.075,1.084375,1.075,1.084375
6/2/1980,1.09375,1.09375,1.09375,1.09375
6/3/1980,1.075,1.075,1.075,1.075
6/4/1980,1.075,1.075,1.059375,1.059375
6/5/1980,1.059375,1.059375,1.059375,1.059375
6/6/1980,1.059375,1.059375,1.059375,1.059375
6/9/1980,1.06875,1.06875,1.06875,1.06875
6/10/1980,1.059375,1.059375,1.053125,1.053125
6/11/1980,1.075,1.075,1.075,1.075
6/12/1980,1.075,1.075,1.075,1.075
6/13/1980,1.075,1.075,1.075,1.075
6/16/1980,1.075,1.075,1.075,1.075
6/17/1980,1.075,1.075,1.075,1.075
6/18/1980,1.075,1.075,1.075,1.075
6/19/1980,1.10625,1.10625,1.10625,1.10625
6/20/1980,1.09375,1.09375,1.084375,1.084375
6/23/1980,1.09375,1.1,1.09375,1.09375
6/24/1980,1.084375,1.084375,1.075,1.075
6/25/1980,1.0625,1.0625,1.053125,1.053125
6/26/1980,1.053125,1.0625,1.053125,1.053125
6/27/1980,1.053125,1.053125,1.053125,1.053125
6/30/1980,1.059375,1.0625,1.059375,1.059375
7/1/1980,1.059375,1.059375,1.04375,1.04375
7/2/1980,1.04375,1.053125,1.04375,1.04375
7/3/1980,1.04375,1.05,1.0375,1.05
7/7/1980,1.05,1.05,1.0375,1.05
7/8/1980,1.04375,1.04375,1.0375,1.04375
7/9/1980,1.04375,1.05,1.0375,1.0375
7/10/1980,1.0375,1.053125,1.0375,1.053125
7/11/1980,1.04375,1.04375,1.04375,1.04375
7/14/1980,1.04375,1.05,1.0375,1.0375
7/15/1980,1.05,1.05,1.05,1.05
7/16/1980,1.05,1.053125,1.05,1.053125
7/17/1980,1.053125,1.053125,1.04375,1.053125
7/18/1980,1.053125,1.053125,1.04375,1.05
7/21/1980,1.04375,1.04375,1.0375,1.04375
7/22/1980,1.04375,1.04375,1.0375,1.0375
7/23/1980,1.03125,1.03125,1.0125,1.0125
7/24/1980,1.028125,1.028125,1.028125,1.028125
7/25/1980,1.028125,1.04375,1.021875,1.03125
7/28/1980,1.03125,1.03125,1.01875,1.01875
7/29/1980,1.0125,1.0125,1.0125,1.0125
7/30/1980,1.01875,1.021875,1.01875,1.01875
7/31/1980,1.028125,1.0375,1.028125,1.03125
8/1/1980,1.03125,1.03125,1.021875,1.021875
8/4/1980,1.028125,1.0375,1.028125,1.0375
8/5/1980,1.0375,1.0375,1.03125,1.0375
8/6/1980,1.0375,1.0375,1.03125,1.03125
8/7/1980,1.03125,1.04375,1.03125,1.03125
8/8/1980,1.0375,1.059375,1.0375,1.05
8/11/1980,1.059375,1.06875,1.059375,1.06875
8/12/1980,1.06875,1.125,1.0625,1.090625
8/13/1980,1.090625,1.09375,1.090625,1.09375
8/14/1980,1.09375,1.1,1.090625,1.09375
8/15/1980,1.09375,1.1,1.090625,1.090625
8/18/1980,1.090625,1.09375,1.090625,1.090625
8/19/1980,1.090625,1.090625,1.084375,1.084375
8/20/1980,1.084375,1.084375,1.08125,1.084375
8/21/1980,1.084375,1.090625,1.084375,1.090625
8/22/1980,1.09375,1.109375,1.09375,1.109375
8/25/1980,1.109375,1.125,1.096875,1.125
8/26/1980,1.125,1.125,1.1125,1.11875
8/27/1980,1.090625,1.090625,1.08125,1.08125
8/28/1980,1.096875,1.103125,1.096875,1.103125
8/29/1980,1.103125,1.103125,1.096875,1.103125
9/2/1980,1.10625,1.10625,1.10625,1.10625
9/3/1980,1.10625,1.10625,1.096875,1.10625
9/4/1980,1.10625,1.10625,1.096875,1.096875
9/5/1980,1.096875,1.096875,1.090625,1.096875
9/8/1980,1.103125,1.103125,1.103125,1.103125
9/9/1980,1.103125,1.103125,1.090625,1.103125
9/10/1980,1.103125,1.10625,1.096875,1.10625
9/11/1980,1.125,1.125,1.125,1.125
9/12/1980,1.125,1.146875,1.125,1.1375
9/15/1980,1.153125,1.16875,1.153125,1.16875
9/16/1980,1.16875,1.16875,1.153125,1.153125
9/17/1980,1.153125,1.159375,1.146875,1.153125
9/18/1980,1.14375,1.14375,1.13125,1.14375
9/19/1980,1.14375,1.146875,1.1375,1.1375
9/22/1980,1.11875,1.11875,1.103125,1.10625
9/23/1980,1.10625,1.10625,1.090625,1.096875
9/24/1980,1.090625,1.090625,1.08125,1.090625
9/25/1980,1.096875,1.125,1.096875,1.1125
9/26/1980,1.10625,1.10625,1.103125,1.103125
9/29/1980,1.103125,1.10625,1.090625,1.090625
9/30/1980,1.090625,1.096875,1.090625,1.090625
10/1/1980,1.090625,1.10625,1.090625,1.10625
10/2/1980,1.10625,1.1125,1.10625,1.10625
10/3/1980,1.1125,1.13125,1.1125,1.13125
10/6/1980,1.165625,1.175,1.165625,1.16875
10/7/1980,1.159375,1.159375,1.146875,1.146875
10/8/1980,1.153125,1.165625,1.153125,1.165625
10/9/1980,1.146875,1.146875,1.146875,1.146875
10/10/1980,1.125,1.125,1.11875,1.11875
10/13/1980,1.16875,1.19375,1.16875,1.19375
10/14/1980,1.19375,1.20625,1.19375,1.20625
10/15/1980,1.2625,1.26875,1.2625,1.2625
10/16/1980,1.2625,1.271875,1.2625,1.26875
10/17/1980,1.26875,1.26875,1.25,1.26875
10/20/1980,1.25625,1.25625,1.24375,1.25
10/21/1980,1.25,1.25,1.2375,1.25
10/22/1980,1.228125,1.228125,1.209375,1.221875
10/23/1980,1.2,1.2,1.18125,1.2
10/24/1980,1.18125,1.18125,1.18125,1.18125
10/27/1980,1.175,1.175,1.16875,1.175
10/28/1980,1.159375,1.159375,1.153125,1.159375
10/29/1980,1.175,1.19375,1.175,1.19375
10/30/1980,1.20625,1.215625,1.20625,1.209375
10/31/1980,1.19375,1.19375,1.1875,1.19375
11/3/1980,1.19375,1.2,1.1875,1.2
11/5/1980,1.165625,1.165625,1.153125,1.165625
11/6/1980,1.14375,1.14375,1.13125,1.13125
11/7/1980,1.125,1.125,1.11875,1.125
11/10/1980,1.125,1.18125,1.11875,1.175
11/11/1980,1.16875,1.16875,1.159375,1.165625
11/12/1980,1.14375,1.14375,1.1375,1.1375
11/13/1980,1.13125,1.13125,1.125,1.125
11/14/1980,1.11875,1.11875,1.096875,1.1125
11/17/1980,1.1125,1.1125,1.096875,1.096875
11/18/1980,1.096875,1.125,1.08125,1.11875
11/19/1980,1.11875,1.11875,1.08125,1.08125
11/20/1980,1.090625,1.103125,1.090625,1.103125
11/21/1980,1.10625,1.11875,1.10625,1.11875
11/24/1980,1.11875,1.125,1.10625,1.125
11/25/1980,1.125,1.125,1.1125,1.125
11/26/1980,1.10625,1.10625,1.08125,1.10625
11/28/1980,1.103125,1.103125,1.084375,1.096875
12/1/1980,1.096875,1.096875,1.075,1.075
12/2/1980,1.075,1.08125,1.05,1.05625
12/3/1980,1.08125,1.103125,1.08125,1.103125
12/4/1980,1.090625,1.090625,1.084375,1.084375
12/5/1980,1.084375,1.090625,1.084375,1.090625
12/8/1980,1.10625,1.11875,1.10625,1.10625
12/9/1980,1.10625,1.11875,1.090625,1.11875
12/10/1980,1.10625,1.10625,1.096875,1.096875
12/11/1980,1.096875,1.103125,1.084375,1.084375
12/12/1980,1.090625,1.096875,1.090625,1.090625
12/15/1980,1.10625,1.125,1.10625,1.10625
12/16/1980,1.10625,1.11875,1.10625,1.11875
12/17/1980,1.1125,1.1125,1.103125,1.1125
12/18/1980,1.10625,1.10625,1.10625,1.10625
12/19/1980,1.10625,1.11875,1.103125,1.1125
12/22/1980,1.1125,1.1375,1.103125,1.1375
12/23/1980,1.1375,1.1375,1.1375,1.1375
12/24/1980,1.1375,1.1375,1.1375,1.1375
12/26/1980,1.125,1.125,1.10625,1.1125
12/29/1980,1.11875,1.1375,1.11875,1.11875
12/30/1980,1.1375,1.159375,1.1375,1.159375
12/31/1980,1.153125,1.153125,1.13125,1.153125
1/2/1981,1.153125,1.165625,1.146875,1.165625
1/5/1981,1.19375,1.209375,1.19375,1.19375
1/6/1981,1.19375,1.19375,1.16875,1.19375
1/7/1981,1.159375,1.159375,1.146875,1.146875
1/8/1981,1.146875,1.146875,1.1375,1.1375
1/9/1981,1.146875,1.159375,1.146875,1.153125
1/12/1981,1.153125,1.153125,1.146875,1.146875
1/13/1981,1.146875,1.146875,1.14375,1.14375
1/14/1981,1.1375,1.1375,1.125,1.125
1/15/1981,1.1375,1.14375,1.1375,1.14375
1/16/1981,1.14375,1.146875,1.1375,1.146875
1/19/1981,1.16875,1.18125,1.16875,1.18125
1/20/1981,1.18125,1.19375,1.18125,1.18125
1/21/1981,1.18125,1.2,1.18125,1.2
1/22/1981,1.19375,1.19375,1.1875,1.19375
1/23/1981,1.19375,1.20625,1.19375,1.19375
1/26/1981,1.1875,1.1875,1.18125,1.18125
1/27/1981,1.18125,1.18125,1.16875,1.18125
1/28/1981,1.175,1.175,1.165625,1.165625
1/29/1981,1.165625,1.165625,1.146875,1.159375
1/30/1981,1.19375,1.2,1.19375,1.2
2/2/1981,1.2,1.209375,1.2,1.20625
2/3/1981,1.20625,1.215625,1.20625,1.209375
2/4/1981,1.209375,1.228125,1.209375,1.228125
2/5/1981,1.228125,1.228125,1.20625,1.215625
2/6/1981,1.215625,1.228125,1.20625,1.215625
2/9/1981,1.215625,1.228125,1.20625,1.221875
2/10/1981,1.221875,1.23125,1.221875,1.23125
2/11/1981,1.228125,1.228125,1.215625,1.215625
2/12/1981,1.215625,1.228125,1.215625,1.215625
2/13/1981,1.2,1.2,1.19375,1.19375
2/17/1981,1.19375,1.20625,1.18125,1.18125
2/18/1981,1.19375,1.20625,1.19375,1.20625
2/19/1981,1.20625,1.221875,1.18125,1.221875
2/20/1981,1.20625,1.20625,1.1875,1.1875
2/23/1981,1.18125,1.18125,1.16875,1.18125
2/24/1981,1.175,1.175,1.165625,1.165625
2/25/1981,1.165625,1.16875,1.165625,1.16875
2/26/1981,1.16875,1.175,1.159375,1.175
2/27/1981,1.175,1.1875,1.16875,1.1875
3/2/1981,1.16875,1.16875,1.165625,1.165625
3/3/1981,1.18125,1.2,1.18125,1.19375
3/4/1981,1.2,1.209375,1.2,1.2
3/5/1981,1.1875,1.1875,1.175,1.1875
3/6/1981,1.2,1.209375,1.2,1.20625
3/9/1981,1.209375,1.215625,1.209375,1.215625
3/10/1981,1.209375,1.209375,1.20625,1.20625
3/11/1981,1.19375,1.19375,1.1875,1.19375
3/12/1981,1.19375,1.2,1.19375,1.2
3/13/1981,1.19375,1.19375,1.1875,1.19375
3/16/1981,1.2,1.20625,1.2,1.20625
3/17/1981,1.215625,1.221875,1.215625,1.221875
3/18/1981,1.221875,1.228125,1.221875,1.228125
3/19/1981,1.2375,1.2625,1.2375,1.25
3/20/1981,1.26875,1.3,1.26875,1.3
3/23/1981,1.3625,1.3875,1.3625,1.3875
3/24/1981,1.43125,1.45625,1.43125,1.45
3/25/1981,1.45,1.45,1.4375,1.44375
3/26/1981,1.403125,1.403125,1.38125,1.403125
3/27/1981,1.403125,1.409375,1.3875,1.3875
3/30/1981,1.39375,1.403125,1.39375,1.396875
3/31/1981,1.396875,1.403125,1.3875,1.396875
4/1/1981,1.396875,1.415625,1.396875,1.415625
4/2/1981,1.43125,1.45625,1.43125,1.43125
4/3/1981,1.4375,1.45625,1.4375,1.45625
4/6/1981,1.465625,1.478125,1.465625,1.471875
4/7/1981,1.478125,1.55,1.478125,1.54375
4/8/1981,1.60625,1.6375,1.60625,1.625
4/9/1981,1.60625,1.60625,1.590625,1.60625
4/10/1981,1.596875,1.596875,1.584375,1.584375
4/13/1981,1.64375,1.68125,1.64375,1.68125
4/14/1981,1.69375,1.721875,1.69375,1.70625
4/15/1981,1.6875,1.6875,1.659375,1.68125
4/16/1981,1.675,1.675,1.646875,1.665625
4/20/1981,1.66875,1.6875,1.66875,1.68125
4/21/1981,1.70625,1.778125,1.70625,1.75625
4/22/1981,1.834375,1.86875,1.834375,1.85625
4/23/1981,1.875,1.925,1.875,1.88125
4/24/1981,1.88125,1.903125,1.875,1.88125
4/27/1981,1.89375,1.909375,1.89375,1.89375
4/28/1981,1.93125,1.95625,1.93125,1.94375
4/29/1981,1.94375,1.95625,1.915625,1.925
4/30/1981,1.9875,2,1.9875,1.99375
5/1/1981,2.028125,2.04375,2.028125,2.034375
5/4/1981,2.034375,2.034375,1.978125,2.0125
5/5/1981,2,2,1.9375,1.95
5/6/1981,1.91875,1.91875,1.8875,1.89375
5/7/1981,1.8125,1.8125,1.8,1.80625
5/8/1981,1.846875,1.8625,1.846875,1.8625
5/11/1981,1.840625,1.840625,1.81875,1.81875
5/12/1981,1.75,1.75,1.66875,1.75
5/13/1981,1.7625,1.784375,1.7625,1.784375
5/14/1981,1.80625,1.840625,1.80625,1.840625
5/15/1981,1.80625,1.80625,1.79375,1.80625
5/18/1981,1.80625,1.80625,1.8,1.80625
5/19/1981,1.75,1.75,1.7375,1.74375
5/20/1981,1.771875,1.8125,1.771875,1.8125
5/21/1981,1.8125,1.8125,1.79375,1.80625
5/22/1981,1.80625,1.80625,1.79375,1.8
5/26/1981,1.9875,2.0125,1.9875,1.99375
5/27/1981,2.125,2.153125,2.125,2.1375
5/28/1981,2.1375,2.14375,2.125,2.14375
5/29/1981,2.228125,2.25,2.228125,2.25
6/1/1981,2.35625,2.38125,2.35625,2.3625
6/2/1981,2.340625,2.340625,2.30625,2.31875
6/3/1981,2.375,2.396875,2.375,2.375
6/4/1981,2.271875,2.271875,2.25,2.25625
6/5/1981,2.25625,2.284375,2.25,2.284375
6/8/1981,2.18125,2.18125,2.153125,2.16875
6/9/1981,2.103125,2.103125,2.06875,2.08125
6/10/1981,2.33125,2.3625,2.33125,2.35625
6/11/1981,2.35625,2.36875,2.334375,2.346875
6/12/1981,2.396875,2.41875,2.396875,2.409375
