Date,Open,High,Low,Close
3/24/1980,0,4.421488,4.338843,4.338843
3/25/1980,4.338843,4.338843,4.338843,4.338843
3/26/1980,4.338843,4.338843,4.338843,4.338843
3/27/1980,0,4.524794,4.442149,4.442149
3/28/1980,0,4.545455,4.46281,4.46281
3/31/1980,4.46281,4.46281,4.46281,4.46281
4/1/1980,4.46281,4.46281,4.46281,4.46281
4/2/1980,4.46281,4.46281,4.46281,4.46281
4/3/1980,4.46281,4.46281,4.46281,4.46281
4/7/1980,0,4.359504,4.276859,4.276859
4/8/1980,4.276859,4.276859,4.276859,4.276859
4/9/1980,0,4.504132,4.421488,4.421488
4/10/1980,4.421488,4.421488,4.421488,4.421488
4/11/1980,4.421488,4.421488,4.421488,4.421488
4/14/1980,4.421488,4.421488,4.421488,4.421488
4/15/1980,4.421488,4.421488,4.421488,4.421488
4/16/1980,4.421488,4.421488,4.421488,4.421488
4/17/1980,4.421488,4.421488,4.421488,4.421488
4/18/1980,4.421488,4.421488,4.421488,4.421488
4/21/1980,4.421488,4.421488,4.421488,4.421488
4/22/1980,4.421488,4.421488,4.421488,4.421488
4/23/1980,4.421488,4.421488,4.421488,4.421488
4/24/1980,4.421488,4.421488,4.421488,4.421488
4/25/1980,4.421488,4.421488,4.421488,4.421488
4/28/1980,4.421488,4.421488,4.421488,4.421488
4/29/1980,0,4.710744,4.628099,4.628099
4/30/1980,4.628099,4.628099,4.628099,4.628099
5/1/1980,4.628099,4.628099,4.628099,4.628099
5/2/1980,4.628099,4.628099,4.628099,4.628099
5/5/1980,4.628099,4.628099,4.628099,4.628099
5/6/1980,0,4.876033,4.793388,4.793388
5/7/1980,4.793388,4.793388,4.793388,4.793388
5/8/1980,0,4.752066,4.669422,4.669422
5/9/1980,4.669422,4.669422,4.669422,4.669422
5/12/1980,4.669422,4.669422,4.669422,4.669422
5/13/1980,4.669422,4.669422,4.669422,4.669422
5/14/1980,4.669422,4.669422,4.669422,4.669422
5/15/1980,4.669422,4.669422,4.669422,4.669422
5/16/1980,4.669422,4.669422,4.669422,4.669422
5/19/1980,4.669422,4.669422,4.669422,4.669422
5/20/1980,4.669422,4.669422,4.669422,4.669422
5/21/1980,4.669422,4.669422,4.669422,4.669422
5/22/1980,4.669422,4.669422,4.669422,4.669422
5/23/1980,4.669422,4.669422,4.669422,4.669422
5/27/1980,4.669422,4.669422,4.669422,4.669422
5/28/1980,4.669422,4.669422,4.669422,4.669422
5/29/1980,4.669422,4.669422,4.669422,4.669422
5/30/1980,4.669422,4.669422,4.669422,4.669422
6/2/1980,4.669422,4.669422,4.669422,4.669422
6/3/1980,4.669422,4.669422,4.669422,4.669422
6/4/1980,4.669422,4.669422,4.669422,4.669422
6/5/1980,4.669422,4.669422,4.669422,4.669422
6/6/1980,4.669422,4.669422,4.669422,4.669422
6/9/1980,4.669422,4.669422,4.669422,4.669422
6/10/1980,4.669422,4.669422,4.669422,4.669422
6/11/1980,0,5.082644,5,5
6/12/1980,5,5,5,5
6/13/1980,5,5,5,5
6/16/1980,5,5,5,5
6/17/1980,5,5,5,5
6/18/1980,5,5,5,5
6/19/1980,5,5,5,5
6/20/1980,5,5,5,5
6/23/1980,5,5,5,5
6/24/1980,5,5,5,5
6/25/1980,5,5,5,5
6/26/1980,5,5,5,5
6/27/1980,5,5,5,5
6/30/1980,5,5,5,5
