Date,Open,High,Low,Close
11/18/1996,19.916666,19.916666,19.583334,19.916666
11/19/1996,20,20,19.666666,20
11/20/1996,20.083334,20.166666,19.666666,20.083334
11/21/1996,20.25,20.25,19.75,20.25
11/22/1996,20.083334,20.25,19.75,20.083334
11/25/1996,20.25,20.416666,19.916666,20.25
11/26/1996,19.833334,20.166666,19.833334,19.833334
11/27/1996,20.25,20.333334,19.833334,20.25
11/29/1996,21.166666,21.166666,20.416666,21.166666
12/2/1996,20.5,20.583334,20.166666,20.5
12/3/1996,20.5,20.583334,20.25,20.5
12/4/1996,20.166666,20.5,19.916666,20.166666
12/5/1996,19.75,20.083334,19.5,19.75
12/6/1996,19.333334,19.666666,19,19.333334
12/9/1996,19.333334,19.5,19,19.333334
12/10/1996,19.416666,19.666666,18.916666,19.416666
12/11/1996,18.75,19.166666,18.666666,18.75
12/12/1996,18.666666,19.333334,18.583334,18.666666
12/13/1996,18.5,18.75,18.333334,18.5
12/16/1996,18.833334,19,18.583334,18.833334
12/17/1996,18.666666,18.666666,18.25,18.666666
12/18/1996,18.166666,18.583334,17.75,18.166666
12/19/1996,18,18.166666,17.75,18
12/20/1996,18.416666,18.416666,17.916666,18.416666
12/23/1996,18.583334,18.583334,18.166666,18.583334
12/24/1996,18.333334,19.416666,18.083334,18.333334
12/26/1996,18.75,19,18.583334,18.75
12/27/1996,18.666666,19,18.583334,18.666666
12/30/1996,18.583334,18.916666,18.416666,18.583334
12/31/1996,18.75,18.833334,18.333334,18.75
1/2/1997,18.25,18.333334,17.916666,18.25
1/3/1997,17.666666,18.083334,17.666666,17.666666
1/6/1997,17.916666,18.166666,17.916666,17.916666
1/7/1997,18,18.25,17.666666,18
1/8/1997,17.666666,18,17.5,17.666666
1/9/1997,17.333334,17.916666,17.25,17.333334
1/10/1997,17.166666,17.333334,16.833334,17.166666
1/13/1997,16.75,17.166666,16.666666,16.75
1/14/1997,16.916666,17.166666,16.75,16.916666
1/15/1997,17.333334,17.416666,17.083334,17.333334
1/16/1997,17.583334,17.666666,17.25,17.583334
1/17/1997,17.25,17.5,17.083334,17.25
1/20/1997,16.916666,17.416666,16.75,16.916666
1/21/1997,17,17.083334,16.75,17
1/22/1997,16.75,16.916666,16.5,16.75
1/23/1997,16.833334,16.833334,16.416666,16.833334
1/24/1997,16.666666,16.75,16.25,16.666666
1/27/1997,17.25,17.25,16.833334,17.25
1/28/1997,17,17.333334,16.916666,17
1/29/1997,17.333334,17.416666,17,17.333334
1/30/1997,18.333334,18.416666,17.833334,18.333334
1/31/1997,18.166666,18.25,17.75,18.166666
2/3/1997,17.583334,17.666666,17.083334,17.583334
2/4/1997,17.166666,17.416666,17.083334,17.166666
2/5/1997,17.416666,17.583334,17.083334,17.416666
2/6/1997,18.083334,18.166666,17.333334,18.083334
2/7/1997,18.25,18.833334,17.583334,18.25
2/10/1997,18.916666,19,18.583334,18.916666
2/11/1997,18.583334,18.583334,18.083334,18.583334
2/12/1997,18.333334,18.416666,18,18.333334
2/13/1997,18.25,18.333334,18,18.25
2/14/1997,17.166666,17.5,16.916666,17.166666
2/18/1997,17,17.083334,16.666666,17
2/19/1997,16.5,17,16.333334,16.5
2/20/1997,16.583334,17.583334,16.416666,16.583334
2/21/1997,16.833334,16.833334,16.583334,16.833334
2/24/1997,17.25,17.25,16.916666,17.25
2/25/1997,17.333334,17.333334,17,17.333334
2/26/1997,17,17.166666,16.666666,17
2/27/1997,17.166666,17.333334,16.833334,17.166666
2/28/1997,18.666666,18.75,17.5,18.666666
3/3/1997,18.333334,18.333334,18,18.333334
3/4/1997,18.75,18.833334,18.416666,18.75
3/5/1997,19.166666,19.416666,18.333334,19.166666
3/6/1997,19.25,19.25,18.5,19.25
3/7/1997,19.25,19.25,18.75,19.25
3/10/1997,18.833334,18.833334,18.416666,18.833334
3/11/1997,18.416666,18.666666,18.166666,18.416666
3/12/1997,18.416666,18.416666,18,18.416666
3/13/1997,18.333334,18.75,18.25,18.333334
3/14/1997,19.333334,19.5,18.75,19.333334
3/17/1997,18.666666,19.083334,18.666666,18.666666
3/18/1997,19.166666,19.333334,18.833334,19.166666
3/19/1997,19.166666,19.166666,18.833334,19.166666
3/20/1997,18.916666,18.916666,18.25,18.916666
3/21/1997,18.833334,19,18.666666,18.833334
3/24/1997,18.833334,18.916666,18.583334,18.833334
3/25/1997,18.5,19,18.5,18.5
3/26/1997,18.75,19.166666,18.583334,18.75
3/27/1997,19.166666,19.166666,18.833334,19.166666
3/31/1997,19,19.166666,18.666666,19
4/1/1997,18.5,18.583334,18.166666,18.5
4/2/1997,18.25,18.333334,18,18.25
4/3/1997,17.833334,17.916666,17.5,17.833334
4/4/1997,17.833334,18,17.583334,17.833334
4/7/1997,17.916666,18.083334,17.666666,17.916666
4/8/1997,17.75,18.166666,17.75,17.75
4/9/1997,18,18.083334,17.75,18
4/10/1997,18.25,18.25,17.833334,18.25
4/11/1997,18.25,18.416666,18,18.25
4/14/1997,18.25,18.5,17.916666,18.25
4/15/1997,18.25,18.333334,18,18.25
4/16/1997,18.5,18.5,18,18.5
4/17/1997,17.75,17.916666,17.166666,17.75
