Date,Open,High,Low,Close
1/3/2000,48.57,49.200001,48.299999,48.799999
1/4/2000,49,49,47,47.5
1/5/2000,47.5,48.380001,47,47.700001
1/6/2000,48.900002,50.950001,48.5,50.950001
1/7/2000,51.799999,52.75,51.450001,51.950001
1/10/2000,52.549999,52.549999,49.700001,49.91
1/11/2000,50.5,51.299999,49.099998,49.799999
1/12/2000,49.029999,51.950001,48.200001,51.900002
1/13/2000,52,54.5,51.900002,53.049999
1/14/2000,53.049999,53.400002,52.150002,53
1/17/2000,53.799999,54,52,53.200001
1/18/2000,53.75,54,52.549999,53.950001
1/19/2000,53,54,52.200001,53
1/20/2000,52.599998,53.400002,51.5,51.5
1/21/2000,51.799999,52,50.900002,52
1/24/2000,52,52.75,51.049999,52.200001
1/25/2000,51.5,52.5,50.099998,51.799999
1/26/2000,52.900002,53.849998,52.25,53.150002
1/27/2000,54,55.400002,53.5,54.950001
1/28/2000,54.700001,55,54,54.799999
1/31/2000,54,54.5,52.849998,53.900002
2/1/2000,54.099998,54.400002,51.599998,52.200001
2/2/2000,52.5,52.700001,47.41,47.75
2/3/2000,48.5,48.700001,44.849998,46.009998
2/4/2000,46.98,47.349998,46,46.799999
2/7/2000,47.889999,47.889999,46.939999,46.939999
2/8/2000,47.299999,49,47.200001,47.900002
2/9/2000,48.099998,48.16,45.099998,45.200001
2/10/2000,45.860001,45.860001,43.299999,43.450001
2/11/2000,43.599998,45,41.900002,42
2/14/2000,42.98,43.200001,42,42.790001
2/15/2000,42.610001,44.48,42.299999,44.34
2/16/2000,45,45,44.099998,44.77
2/17/2000,44.900002,45.18,43.5,44.16
2/18/2000,43.049999,45.700001,42.599998,44.200001
2/21/2000,44.599998,45.200001,43.75,45.130001
2/22/2000,45.790001,46.740002,44.810001,45.990002
2/23/2000,45.98,46.169998,43.5,44.299999
2/24/2000,44.099998,44.150002,40.5,41.009998
2/25/2000,42,42.299999,39.849998,40.5
2/28/2000,41.299999,41.400002,39.299999,39.700001
2/29/2000,40.799999,41.799999,39.869999,41.400002
3/1/2000,42,42.75,41.5,41.5
3/2/2000,42.040001,42.150002,41.209999,41.5
3/3/2000,42.099998,43.540001,41.400002,43.07
3/6/2000,44.009998,44.5,43.119999,44
3/7/2000,44.5,44.5,41.099998,41.59
3/8/2000,41.700001,41.869999,39.5,39.5
3/9/2000,40,40.290001,38.599998,38.599998
3/10/2000,39.200001,39.599998,37.529999,38.939999
3/13/2000,39.349998,40.389999,39.009998,40.169998
3/14/2000,40.610001,41.310001,38.799999,39.990002
3/15/2000,39.75,40.18,38.849998,40
3/16/2000,41,42.400002,41,41.400002
3/17/2000,43,43.849998,42.5,43.200001
3/20/2000,43.25,43.560001,41.75,42.25
3/21/2000,42.5,42.5,40.799999,41
3/22/2000,41.200001,42.07,40.119999,41.869999
3/23/2000,40.599998,42.299999,40.599998,41.650002
3/24/2000,41.5,41.990002,40.349998,40.470001
3/27/2000,40.5,41.599998,40.07,41.599998
3/28/2000,42,43.150002,41.689999,42.009998
3/29/2000,41.700001,42.490002,41,41.080002
3/30/2000,42.299999,43.009998,41.5,43.009998
3/31/2000,42.990002,45.380001,42.799999,45
4/3/2000,44.990002,46.790001,43.200001,46.16
4/4/2000,46.16,47.450001,44.5,47.450001
4/5/2000,47.200001,47.400002,43.099998,45.599998
4/6/2000,46.299999,46.299999,44.400002,44.630001
4/7/2000,45.599998,45.759998,43.509998,45.220001
4/10/2000,46.5,46.599998,44.400002,46.400002
4/11/2000,46.799999,46.799999,45.400002,46.240002
4/12/2000,46.799999,46.799999,45.25,45.84
4/13/2000,45.150002,46.950001,45,45.84
4/14/2000,46.439999,46.439999,44.200001,45.080002
4/17/2000,43,45.720001,42.799999,44.900002
4/18/2000,45.209999,45.700001,43.900002,45
4/19/2000,45.5,46.419998,44.810001,45
4/20/2000,46.5,46.5,45.349998,46.220001
4/21/2000,46.220001,46.220001,46.220001,46.220001
4/24/2000,46.220001,46.220001,46.220001,46.220001
4/25/2000,48.400002,49,47.599998,49
4/26/2000,49.099998,49.400002,48.099998,48.900002
4/27/2000,47.900002,49,47.5,48.349998
4/28/2000,49,50.549999,48.5,50
5/1/2000,50,50,50,50
5/2/2000,50.799999,51,47.709999,48.299999
5/3/2000,48.619999,48.650002,47,47.299999
5/4/2000,47.310001,48.880001,46.25,48.880001
5/5/2000,48,49.5,47.799999,49
5/8/2000,49.18,49.349998,48.5,49.139999
5/9/2000,48.880001,49.689999,48.5,49.200001
5/10/2000,48.900002,50.299999,48.700001,49.990002
5/11/2000,49.119999,50.549999,48.630001,49
5/12/2000,48.549999,50.5,48.099998,48.970001
5/15/2000,48,50.950001,48,50.950001
5/16/2000,51,52.5,50.549999,51.650002
5/17/2000,51.650002,51.700001,50.5,51
5/18/2000,51.700001,52.299999,50.599998,51.049999
5/19/2000,50,51.549999,49.549999,50.75
5/22/2000,51,53,50.099998,51.349998
5/23/2000,52.099998,52.5,49.299999,50.099998
5/24/2000,50.099998,51.299999,48,51
5/25/2000,51.799999,53.450001,51.299999,51.5
5/26/2000,51.200001,52.599998,50.75,51.200001
5/29/2000,52,52.200001,50.75,51.799999
5/30/2000,51.25,52.400002,50.75,50.849998
5/31/2000,50.75,51.349998,48.5,50.5
6/1/2000,49,51,48.990002,50.349998
6/2/2000,49.580002,50.799999,48.5,49.029999
6/5/2000,49.599998,49.849998,48.099998,48.389999
6/6/2000,48.66,49.419998,46.849998,47.419998
6/7/2000,48,49,47.650002,48.700001
6/8/2000,48.02,48.799999,47.009998,47.5
6/9/2000,47.25,47.400002,46,46.52
6/12/2000,46.52,46.52,46.52,46.52
6/13/2000,46.939999,47.299999,46.57,47
6/14/2000,47,47.419998,45.799999,45.799999
6/15/2000,45.799999,46.93,45.119999,46.84
6/16/2000,47.450001,47.450001,45.599998,46
6/19/2000,46.5,47.209999,46,46.75
6/20/2000,47.23,47.25,45.240002,45.779999
6/21/2000,45.889999,45.889999,43.950001,44.02
6/22/2000,44.400002,44.400002,42.98,43.470001
6/23/2000,43.099998,43.400002,42.400002,42.689999
6/26/2000,43.5,44.830002,42.900002,44.150002
6/27/2000,44.799999,45.700001,44.369999,45.200001
6/28/2000,45.799999,46.599998,45.5,45.919998
6/29/2000,46,46.599998,45.200001,46.400002
6/30/2000,46.849998,47.939999,46.5,47.599998
7/3/2000,46.400002,47.189999,46.07,46.990002
7/4/2000,47.240002,48.290001,47.150002,48.18
7/5/2000,48.18,48.950001,47.799999,48.950001
7/6/2000,48.049999,49.200001,48.049999,48.73
7/7/2000,48.59,49.5,47.849998,49.299999
7/10/2000,48.599998,49.73,48.5,49.73
7/11/2000,49.25,49.25,48.049999,48.400002
7/12/2000,47.509998,48,46.700001,47.599998
7/13/2000,47.599998,48.139999,47.099998,47.099998
7/14/2000,47.099998,47.099998,47.099998,47.099998
7/17/2000,47.299999,47.400002,45.700001,45.799999
7/18/2000,47.299999,47.400002,44,44
