Date,Open,High,Low,Close
8/18/1976,2.5622,2.5622,2.5622,2.5622
8/19/1976,2.549578,2.549578,2.549578,2.549578
8/20/1976,2.536956,2.536956,2.536956,2.536956
8/23/1976,2.461226,2.461226,2.461226,2.461226
8/24/1976,2.435982,2.435982,2.435982,2.435982
8/25/1976,2.41074,2.41074,2.41074,2.41074
8/26/1976,2.41074,2.41074,2.41074,2.41074
8/27/1976,2.499092,2.499092,2.499092,2.499092
8/30/1976,2.448604,2.448604,2.448604,2.448604
8/31/1976,2.448604,2.448604,2.448604,2.448604
9/1/1976,2.461226,2.461226,2.461226,2.461226
9/2/1976,2.423362,2.423362,2.423362,2.423362
9/3/1976,2.385496,2.385496,2.385496,2.385496
9/7/1976,2.322388,2.322388,2.322388,2.322388
9/8/1976,2.33501,2.33501,2.33501,2.33501
9/9/1976,2.322388,2.322388,2.322388,2.322388
9/10/1976,2.360252,2.360252,2.360252,2.360252
9/13/1976,2.309766,2.309766,2.309766,2.309766
9/14/1976,2.297144,2.297144,2.297144,2.297144
9/15/1976,2.297144,2.297144,2.297144,2.297144
9/16/1976,2.25928,2.25928,2.25928,2.25928
9/17/1976,2.25928,2.25928,2.25928,2.25928
9/20/1976,2.25928,2.25928,2.25928,2.25928
9/21/1976,2.25928,2.25928,2.25928,2.25928
9/22/1976,2.25928,2.25928,2.25928,2.25928
9/23/1976,2.25928,2.25928,2.25928,2.25928
9/24/1976,2.25928,2.25928,2.25928,2.25928
9/27/1976,2.246658,2.246658,2.246658,2.246658
9/28/1976,2.246658,2.246658,2.246658,2.246658
9/29/1976,2.271902,2.271902,2.271902,2.271902
9/30/1976,2.25928,2.25928,2.25928,2.25928
10/1/1976,2.246658,2.246658,2.246658,2.246658
10/4/1976,2.246658,2.246658,2.246658,2.246658
10/5/1976,2.25928,2.25928,2.25928,2.25928
10/6/1976,2.271902,2.271902,2.271902,2.271902
10/7/1976,2.309766,2.309766,2.309766,2.309766
10/8/1976,2.322388,2.322388,2.322388,2.322388
10/11/1976,2.309766,2.309766,2.309766,2.309766
10/12/1976,2.25928,2.25928,2.25928,2.25928
10/13/1976,2.271902,2.271902,2.271902,2.271902
10/14/1976,2.284522,2.284522,2.284522,2.284522
10/15/1976,2.25928,2.25928,2.25928,2.25928
10/18/1976,2.33501,2.33501,2.33501,2.33501
10/19/1976,2.271902,2.271902,2.271902,2.271902
10/20/1976,2.25928,2.25928,2.25928,2.25928
10/21/1976,2.309766,2.309766,2.309766,2.309766
10/22/1976,2.322388,2.322388,2.322388,2.322388
10/25/1976,2.372874,2.372874,2.372874,2.372874
10/26/1976,2.372874,2.372874,2.372874,2.372874
10/27/1976,2.435982,2.435982,2.435982,2.435982
10/28/1976,2.48647,2.48647,2.48647,2.48647
10/29/1976,2.461226,2.461226,2.461226,2.461226
11/1/1976,2.461226,2.461226,2.461226,2.461226
11/3/1976,2.385496,2.385496,2.385496,2.385496
11/4/1976,2.372874,2.372874,2.372874,2.372874
11/5/1976,2.309766,2.309766,2.309766,2.309766
11/8/1976,2.309766,2.309766,2.309766,2.309766
11/9/1976,2.309766,2.309766,2.309766,2.309766
11/10/1976,2.309766,2.309766,2.309766,2.309766
11/11/1976,2.423362,2.423362,2.423362,2.423362
11/12/1976,2.48647,2.48647,2.48647,2.48647
11/15/1976,2.41074,2.41074,2.41074,2.41074
11/16/1976,2.360252,2.360252,2.360252,2.360252
11/17/1976,2.33501,2.33501,2.33501,2.33501
11/18/1976,2.309766,2.309766,2.309766,2.309766
11/19/1976,2.322388,2.322388,2.322388,2.322388
11/22/1976,2.385496,2.385496,2.385496,2.385496
11/23/1976,2.385496,2.385496,2.385496,2.385496
11/24/1976,2.372874,2.372874,2.372874,2.372874
11/26/1976,2.360252,2.360252,2.360252,2.360252
11/29/1976,2.360252,2.360252,2.360252,2.360252
11/30/1976,2.322388,2.322388,2.322388,2.322388
12/1/1976,2.347632,2.347632,2.347632,2.347632
12/2/1976,2.347632,2.347632,2.347632,2.347632
12/3/1976,2.461226,2.461226,2.461226,2.461226
12/6/1976,2.701038,2.701038,2.701038,2.701038
12/7/1976,2.78939,2.78939,2.78939,2.78939
12/8/1976,2.827254,2.827254,2.827254,2.827254
12/9/1976,2.814632,2.814632,2.814632,2.814632
12/10/1976,2.814632,2.814632,2.814632,2.814632
12/13/1976,2.94085,2.94085,2.94085,2.94085
12/14/1976,2.966094,2.966094,2.966094,2.966094
12/15/1976,3.054444,3.054444,3.054444,3.054444
12/16/1976,3.003958,3.003958,3.003958,3.003958
12/17/1976,3.041824,3.041824,3.041824,3.041824
12/20/1976,2.966094,2.966094,2.966094,2.966094
12/21/1976,2.953472,2.953472,2.953472,2.953472
12/22/1976,3.01658,3.01658,3.01658,3.01658
12/23/1976,3.180662,3.180662,3.180662,3.180662
12/27/1976,3.458338,3.458338,3.458338,3.458338
12/28/1976,3.445716,3.445716,3.445716,3.445716
12/29/1976,3.433094,3.433094,3.433094,3.433094
12/30/1976,3.445716,3.445716,3.445716,3.445716
12/31/1976,3.445716,3.445716,3.445716,3.445716
1/3/1977,3.458338,3.458338,3.458338,3.458338
1/4/1977,3.306878,3.306878,3.306878,3.306878
1/5/1977,3.382608,3.382608,3.382608,3.382608
1/6/1977,3.256392,3.256392,3.256392,3.256392
1/7/1977,3.205904,3.205904,3.205904,3.205904
1/10/1977,3.281634,3.281634,3.281634,3.281634
1/11/1977,3.16804,3.16804,3.16804,3.16804
1/12/1977,3.142796,3.142796,3.142796,3.142796
1/13/1977,3.3195,3.3195,3.3195,3.3195
1/14/1977,3.306878,3.306878,3.306878,3.306878
1/17/1977,3.180662,3.180662,3.180662,3.180662
1/18/1977,3.130174,3.130174,3.130174,3.130174
1/19/1977,3.382608,3.382608,3.382608,3.382608
1/20/1977,3.306878,3.306878,3.306878,3.306878
1/21/1977,3.47096,3.47096,3.47096,3.47096
1/24/1977,3.571934,3.571934,3.571934,3.571934
1/25/1977,3.496204,3.496204,3.496204,3.496204
1/26/1977,3.62242,3.62242,3.62242,3.62242
1/27/1977,3.571934,3.571934,3.571934,3.571934
1/28/1977,3.571934,3.571934,3.571934,3.571934
1/31/1977,3.420474,3.420474,3.420474,3.420474
